"fire.name","salvaged","planted","area.ha","area_prop","pltd.yr0_prop","pltd.yr1_prop","pltd.yr2_prop","pltd.yr3_prop","pltd.yr4_prop","pltd.later_prop","site.prepped_prop","released.0x_prop","released.1x_prop","released.2x_prop","released.morex_prop","replanted.0x_prop","replanted.1x_prop","replanted.morex_prop","thinned.0x_prop","thinned.1x_prop","thinned.morex_prop","pruned.0x_prop","pruned.morex_prop"
"STORMY",TRUE,FALSE,78.5169230000003,0.03,0,0,0,0,0,0,0,0.01,0,0.02,0.01,0,0.01,0.02,0.03,0,0,0.03,0
"STORMY",TRUE,TRUE,1606.939422,0.64,0,0.01,0.26,0.24,0.1,0.02,0.14,0.03,0.2,0.15,0.26,0.14,0.12,0.15,0.61,0.02,0,0.64,0
"STORRIE",FALSE,TRUE,31.410350999999,0.06,0,0,0,0,0.02,0,0.06,0.02,0,0,0.04,0.06,0,0,0.05,0,0.01,0.06,0
"STORRIE",TRUE,FALSE,398.286998999995,0.8,0,0,0,0,0,0,0.51,0.74,0,0.06,0,0.79,0.01,0,0.75,0.02,0.03,0.8,0
"STORRIE",TRUE,TRUE,68.7248905000002,0.14,0,0,0,0,0.07,0.02,0.14,0.03,0.04,0.04,0.03,0.11,0.03,0,0.08,0.03,0.03,0.14,0
"STRAYLOR",FALSE,TRUE,17.0610019999998,0.03,0,0,0.01,0.01,0.01,0,0,0,0.02,0,0,0.02,0,0,0.03,0,0,0.03,0
"STRAYLOR",TRUE,FALSE,207.884040000005,0.36,0,0,0,0,0,0,0,0.33,0.03,0,0,0.33,0.03,0,0,0.36,0,0.36,0
"STRAYLOR",TRUE,TRUE,359.847570999999,0.62,0,0,0.15,0.43,0.03,0,0,0.04,0.58,0,0,0.2,0.35,0.07,0,0.62,0,0.62,0
"STREAM",FALSE,TRUE,23.9851775000003,0.05,0,0.03,0,0.02,0,0,0,0.05,0,0,0,0,0.05,0,0.05,0,0,0.05,0
"STREAM",TRUE,FALSE,265.504292499998,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0.54,0,0,0.52,0.03,0,0.55,0
"STREAM",TRUE,TRUE,197.002313499999,0.4,0,0,0,0.4,0,0,0,0.4,0,0,0,0.25,0.16,0,0.38,0.03,0,0.4,0
"SUGARLOAF",FALSE,TRUE,188.174627,0.49,0,0,0,0.35,0.14,0,0.03,0.35,0.14,0,0,0.49,0,0,0.46,0.03,0,0.49,0
"SUGARLOAF",TRUE,FALSE,21.4924035000014,0.06,0,0,0,0,0,0,0,0.05,0.01,0,0,0.06,0,0,0.05,0,0,0.06,0
"SUGARLOAF",TRUE,TRUE,175.345088999999,0.46,0,0.22,0,0.23,0,0,0.06,0.22,0.23,0,0,0.46,0,0,0.46,0,0,0.46,0
