"Regen_Plot","Fire","Year.of.Fire","survey_years_post","Easting","Northing","SHRUB","dominant_shrub_ht_cm"
"BTU1300157","BTU LIGHTENING",2008,5,639923.54,4423961.85,15,80
"BTU1300158","BTU LIGHTENING",2008,5,640123.45,4423965.55,26,125
"BTU1300160","BTU LIGHTENING",2008,5,640727.66,4423990.01,46,70
"BTU1300163","BTU LIGHTENING",2008,5,639916.91,4424160.6,10,72
"BTU1300164","BTU LIGHTENING",2008,5,640113.3,4424162.01,29,75
"BTU1300165","BTU LIGHTENING",2008,5,640715.36,4424189.59,26,55
"BTU1300175","BTU LIGHTENING",2008,5,640276.61,4425375.89,0.5,45
"BTU1300180","BTU LIGHTENING",2008,5,640070.05,4425566.25,20,42
"BTU1300181","BTU LIGHTENING",2008,5,640272.63,4425574.88,2,95
"BTU1300185","BTU LIGHTENING",2008,5,640062.31,4425767.05,10,42
"BTU1300186","BTU LIGHTENING",2008,5,640263.91,4425773.62,25,40
"BTU1300191","BTU LIGHTENING",2008,5,640055.36,4425966.3,40,30
"BTU1300192","BTU LIGHTENING",2008,5,640256.69,4425971.26,5,12
"BTU1300194","BTU LIGHTENING",2008,5,640656.01,4425985.44,21,50
"BTU1300195","BTU LIGHTENING",2008,5,641055.06,4425997.11,38,35
"BTU1300200","BTU LIGHTENING",2008,5,640838.98,4426387.97,23,20
"BUT1200048","BUTLER",2007,5,1052475.96,3807151.3,25,60
"BUT1200049","BUTLER",2007,5,1052673.12,3807154.44,55,30
"BUT1200070","BUTLER",2007,5,1053670.5,3807582.15,70,55
"BUT1200079","BUTLER",2007,5,1052659.08,3807757.33,75,70
"BUT1200081","BUTLER",2007,5,1053667.21,3807776.19,0,NA
"BUT1200083","BUTLER",2007,5,1054067.94,3807791.44,1,25
"BUT1200088","BUTLER",2007,5,1052858.63,3807959.77,80,40
"BUT1200089","BUTLER",2007,5,1053864,3807994.07,0.5,3.5
"BUT1200090","BUTLER",2007,5,1054062.67,3807999.97,8,35
"BUT1200097","BUTLER",2007,5,1051842.06,3808141.59,15,50
"BUT1200101","BUTLER",2007,5,1053056.3,3808168.06,75,110
"BUT1200105","BUTLER",2007,5,1052248.09,3808348.6,65,50
"BUT1200107","BUTLER",2007,5,1052848.4,3808360.44,60,50
"BUT1200108","BUTLER",2007,5,1053046.27,3808366.56,70,40
"BUT1200135","BUTLER",2007,5,1055964.86,3812062.55,47,50
"BUT1200137","BUTLER",2007,5,1056960.92,3812085.53,100,40
"BUT1200138","BUTLER",2007,5,1056353.39,3812270.01,57,35
"CHB2012130","CHINABACK",2007,5,525894,4632435,70,170
"CHB2012138","CHINABACK",2007,5,523909,4632171,35,65
"CHB2012189","CHINABACK",2007,5,526112,4631841,6,30
"CHB2012190","CHINABACK",2007,5,526309,4631845,7,113
"CHB2012214","CHINABACK",2007,5,526920,4631657,3,100
"CHB2012228","CHINABACK",2007,5,526128,4631441,80,150
"CHB2012229","CHINABACK",2007,5,526325,4631448,70,125
"CHB2012230","CHINABACK",2007,5,526525,4631450,26,150
"CHB2012231","CHINABACK",2007,5,526724,4631456,1.5,47
"CHB2012243","CHINABACK",2007,5,525333,4631214,50,53
"CHB2012247","CHINABACK",2007,5,526133,4631237,15,65
"CHB2012252","CHINABACK",2007,5,527134,4631240,7,80
"CUB1300061","CUB",2008,5,626607.81,4450414.87,35,105
"CUB1300064","CUB",2008,5,626791.06,4450832.26,85,175
"CUB1300066","CUB",2008,5,626802.67,4450424.84,80,70
"CUB1300080","CUB",2008,5,627225.54,4449840.25,55,85
"CUB1300081","CUB",2008,5,627238.54,4449642.36,32,85
"CUB1300085","CUB",2008,5,627435.29,4449633.01,45,100
"CUB1300086","CUB",2008,5,627442.57,4449446.8,45,70
"CUB1300091","CUB",2008,5,627628.42,4449862.96,34,130
"CUB1300092","CUB",2008,5,627631.1,4449651.27,85,120
"CUB1300093","CUB",2008,5,627642.67,4449451.51,70,60
"CUB1300100","CUB",2008,5,627819.26,4450060.17,40,150
"CUB1300101","CUB",2008,5,627845.13,4449256.77,88,60
"CUB1300108","CUB",2008,5,628021.83,4450061.77,75,120
"CUB1300109","CUB",2008,5,628032.53,4449660.96,79,54
"CUB1300110","CUB",2008,5,628039.89,4449467.64,74,55
"CUB1300116","CUB",2008,5,628232.28,4449669.66,75,60
"CUB1300141","CUB",2008,5,629110.8,4453498.38,40,40
"CUB1300168","CUB",2008,5,629971.35,4451527.66,67,40
"CUB1300169","CUB",2008,5,629976.26,4451329.02,60,50
"CUB1300172","CUB",2008,5,630071.6,4454530.7,80,90
"CUB1300180","CUB",2008,5,630164.94,4451737.09,65,NA
"CUB1300181","CUB",2008,5,630170.55,4451530.22,70,70
"CUB1300182","CUB",2008,5,630187.11,4451129.65,5,20
"CUB1300185","CUB",2008,5,630273.16,4454747.87,77,100
"CUB1300198","CUB",2008,5,630372.55,4451539.9,75,NA
"CUB1300199","CUB",2008,5,630378.33,4451341.11,65,40
"CUB1300200","CUB",2008,5,630381.44,4451141.66,1,40
"CUB1300216","CUB",2008,5,630585.22,4451149.68,1,15
"CUB1300221","CUB",2008,5,630740.97,4452776.52,25,40
"CUB1300233","CUB",2008,5,630924.34,4453157.63,30,80
"CUB1300234","CUB",2008,5,630926.44,4452957.16,50,65
"CUB1300235","CUB",2008,5,630937.05,4452755.68,20,80
"CUB1300247","CUB",2008,5,631123.69,4453160.33,45,60
"CUB1300254","CUB",2008,5,631166.04,4451767.49,5,30
"CUB1300259","CUB",2008,5,631204.14,4450767.56,22,80
"CUB1300274","CUB",2008,5,631380.25,4451375.51,55,45
"CUB1300280","CUB",2008,5,631459.57,4454976.89,25,NA
"CUB1300287","CUB",2008,5,631511.22,4453375.35,65,100
"CUB1300288","CUB",2008,5,631505.72,4453162.42,49,120
"CUB1300300","CUB",2008,5,631671.85,4454585.01,35,45
"CUB1300305","CUB",2008,5,631706.16,4453586.01,30,85
"CUB1300306","CUB",2008,5,631709.92,4453389.77,30,50
"CUB1300307","CUB",2008,5,631722.01,4453184.53,40,35
"CUB1300311","CUB",2008,5,631751.41,4452383,3,40
"CUB1300312","CUB",2008,5,631751.98,4452186.6,0.5,15
"CUB1300320","CUB",2008,5,631906.61,4453594.14,36,50
"CUB1300321","CUB",2008,5,631916.54,4453395.01,5,50
"CUB1300322","CUB",2008,5,631919.63,4453194.41,36,60
"CUB1300325","CUB",2008,5,631941.95,4452594.85,8,35
"CUB1300338","CUB",2008,5,632155.99,4452003.77,72,120
"CUB1300346","CUB",2008,5,632372.74,4451408.01,15,50
"CUB1300347","CUB",2008,5,632469.5,4454812,67,60
