"Regen_Plot","Fire","Year.of.Fire","survey_years_post","Easting","Northing","SHRUB","dominant_shrub_ht_cm"
"PWR0900100","POWER",2004,5,740862.2,4265461.04,3,135
"PWR0900103","POWER",2004,5,741663.43,4265483.96,15,40
"PWR0900115","POWER",2004,5,736268.92,4265104.9,5,200
"PWR0900118","POWER",2004,5,736865.66,4265132.19,40,40
"PWR0900119","POWER",2004,5,737066.12,4265137.13,7,35
"PWR0900121","POWER",2004,5,739267.6,4265207.77,18,30
"PWR0900122","POWER",2004,5,740469.76,4265246.32,33,30
"PWR0900135","POWER",2004,5,736070.92,4264902.14,60,30
"PWR0900136","POWER",2004,5,736468.99,4264922.41,36,240
"PWR0900141","POWER",2004,5,737687.29,4264968.23,20,130
"PWR0900143","POWER",2004,5,738670.21,4264990.04,55,20
"PWR0900144","POWER",2004,5,738872.79,4264995.95,15,30
"PWR0900145","POWER",2004,5,739073.29,4265004.17,15,40
"PWR0900146","POWER",2004,5,739274.94,4265006.97,50,30
"PWR0900148","POWER",2004,5,740076.71,4265038.08,40,220
"PWR0900149","POWER",2004,5,740276.29,4265041.06,2,45
"PWR0900151","POWER",2004,5,740679.22,4265054.83,5,30
"PWR0900160","POWER",2004,5,734874.92,4264663.71,0.5,30
"PWR0900161","POWER",2004,5,735076.1,4264675.44,5,200
"PWR0900163","POWER",2004,5,735477.66,4264682.61,7,150
"PWR0900164","POWER",2004,5,735877.2,4264695.62,30,40
"PWR0900165","POWER",2004,5,736674.44,4264725.32,30,150
"PWR0900169","POWER",2004,5,739081.99,4264799.17,25,40
"PWR0900170","POWER",2004,5,739281.15,4264806.47,45,30
"PWR0900172","POWER",2004,5,740080.87,4264837.99,28,40
"PWR0900173","POWER",2004,5,740281.8,4264842.2,8,60
"PWR0900180","POWER",2004,5,734881.15,4264464.14,50,50
"PWR0900181","POWER",2004,5,735080.32,4264472.85,0,NA
"PWR0900182","POWER",2004,5,735484.11,4264492.61,10,190
"PWR0900183","POWER",2004,5,735685.98,4264489.88,0,NA
"PWR0900184","POWER",2004,5,736480.37,4264515.68,80,190
"PWR0900195","POWER",2004,5,734887.87,4264266.34,1,30
"PWR0900197","POWER",2004,5,735495.56,4264283.72,30,170
"PWR0900199","POWER",2004,5,736493.23,4264266.24,36,230
"PWR0900209","POWER",2004,5,735498.99,4264084.41,37,175
"PWR0900222","POWER",2004,5,737106.88,4263939.28,89,40
"PWR0900242","POWER",2004,5,735312.13,4263480.84,40,130
"PWR0900244","POWER",2004,5,735715.05,4263494.28,18,30
"PWR0900259","POWER",2004,5,736757.53,4263129.74,50,195
"PWR0900262","POWER",2004,5,731128.2,4262745.47,40,200
"PWR0900274","POWER",2004,5,734940.32,4262664.07,95,40
"RAL1100547","RALSTON",2006,5,699809.03,4322437.22,40,50
"RAL1100548","RALSTON",2006,5,700010.17,4322454.16,65,15
"RAL1100590","RALSTON",2006,5,700004.2,4322264.8,65,100
"RAL1100627","RALSTON",2006,5,699019.78,4322019.86,20,80
"RAL1100992","RALSTON",2006,5,697483.2,4320168.39,50,150
"RAL1100993","RALSTON",2006,5,697682.28,4320177.3,75,160
"RAL1101035","RALSTON",2006,5,697489.19,4319967.6,85,220
"RCH1100022","RICH",2008,3,659097,4437281,45,20
"RCH1100408","RICH",2008,3,658016,4433838,NA,40
"RUS1100112","RUSH",2006,5,498775.8,4554129.1,3,60
"RUS1100115","RUSH",2006,5,499370.73,4554141.95,1,50
"RUS1100116","RUSH",2006,5,499577.75,4554143.62,1,15
"RUS1100146","RUSH",2006,5,498771.32,4553918.01,0,NA
"RUS1100149","RUSH",2006,5,499378.9,4553946.45,4,50
"RUS1100150","RUSH",2006,5,499485.68,4553948.45,25,60
"RUS1100151","RUSH",2006,5,499777.47,4553952.01,40,90
"RUS1100169","RUSH",2006,5,496395.11,4553653.29,0.5,90
"RUS1100170","RUSH",2006,5,496594.42,4553658.62,5,90
"RUS1100180","RUSH",2006,5,498586.59,4553707.14,3,40
"RUS1100311","RUSH",2006,5,498409.7,4552908.48,50,90
"RUS1100392","RUSH",2006,5,494440.75,4551984.32,68,90
"SHR0900007","SHOWERS",2002,7,759435.03,4297076.15,90,NA
"SHR0900008","SHOWERS",2002,7,759631.02,4297079.55,32,NA
"SHR0900009","SHOWERS",2002,7,759832,4297082,21,NA
"SHR0900014","SHOWERS",2002,7,759016.47,4296653.77,NA,75
"SIM1000006","SIMS",2004,6,452686.38,4507466.01,8,190
"SIM1000011","SIMS",2004,6,452685.5,4507258.33,19,230
"SIM1000014","SIMS",2004,6,455678.19,4507289.47,74,130
"SIM1000015","SIMS",2004,6,453882.89,4507291.53,0.5,25
"SIM1000024","SIMS",2004,6,453690.47,4507087.66,2,110
"SIM1000025","SIMS",2004,6,453896.05,4507088.55,2,100
"SIM1000026","SIMS",2004,6,454217,4507137,10,100
"SIM1000028","SIMS",2004,6,451900,4506783,74,NA
"SIM1000033","SIMS",2004,6,453707.51,4506904.47,0.5,30
"SIM1000036","SIMS",2004,6,452702.21,4506650.84,3,50
"SIM1000038","SIMS",2004,6,453700.64,4506691.48,0.5,70
"SIM1000039","SIMS",2004,6,453907.22,4506702.58,70,40
"SIM1000046","SIMS",2004,6,453927.34,4506482.8,60,130
"SIM1000047","SIMS",2004,6,454303.93,4506508.19,41,120
"SIM1000049","SIMS",2004,6,452716.19,4506258.02,6,140
"SIM1000050","SIMS",2004,6,453910.94,4506301.56,5,170
"SIM1000051","SIMS",2004,6,454314.12,4506329.43,20,220
"SIM1000052","SIMS",2004,6,452521.58,4506052.42,4,20
"SIM1000055","SIMS",2004,6,453936.39,4506102.12,3,150
"SIM1000056","SIMS",2004,6,454319.23,4506114,3,50
"SIM1000060","SIMS",2004,6,453128.49,4505867.56,2,40
"SIM1000061","SIMS",2004,6,453326.69,4505877.51,6,150
"SIM1000062","SIMS",2004,6,453729.85,4505890.85,2,100
"SIM1000063","SIMS",2004,6,453936.75,4505906.33,2,190
"SIM1000069","SIMS",2004,6,453940.17,4505499.92,8,150
"SIM1000070","SIMS",2004,6,454782,4505428,87,130
"SIM1000075","SIMS",2004,6,454949,4505122.92,5,180
"SIM1000076","SIMS",2004,6,455155.72,4505139.39,37,160
"SIM1000078","SIMS",2004,6,454556.55,4504919.39,14,100
"SIM1000079","SIMS",2004,6,454961.51,4504926.82,18,250
"SIM1000080","SIMS",2004,6,455152.62,4504934.27,45,230
"SIM1000082","SIMS",2004,6,454971.11,4504739.14,11,120
"SIM1000083","SIMS",2004,6,455158.1,4504729.88,11,150
"SIM1000085","SIMS",2004,6,454549.99,4504517.5,10,30
"SIM1000086","SIMS",2004,6,454968.87,4504525.27,5,70
"SIM1000087","SIMS",2004,6,455171.82,4504532.76,40,170
"SIM1000088","SIMS",2004,6,454555.51,4504292.27,0,NA
"SLD1200053","SLIDE",2007,5,1045379.39,3803818.69,80,100
"SLD1200075","SLIDE",2007,5,1044360.57,3804391.76,70,40
"SLD1200150","SLIDE",2007,5,1045496.4,3806837.43,8,100
"SLD1200152","SLIDE",2007,5,1046502.7,3806864.71,35,170
"SLD1200157","SLIDE",2007,5,1045492.06,3807030.67,20,25
"SLD1200158","SLIDE",2007,5,1045691.19,3807040.67,20,85
"SLD1200159","SLIDE",2007,5,1046093.17,3807052.82,3,95
"SLD1200160","SLIDE",2007,5,1046293.49,3807058.45,17,50
"SLD1200161","SLIDE",2007,5,1046493.84,3807066.57,25,35
"SLD1200165","SLIDE",2007,5,1046091.77,3807257.07,50,50
"SLD1200166","SLIDE",2007,5,1046285.61,3807263.39,25,40
"SPA1000015","SPANISH",2003,7,512114.46,4385601.44,54,110
"SPA1000027","SPANISH",2003,7,512902.03,4386022.14,20,180
"SPA1000028","SPANISH",2003,7,513098.08,4386032.4,50,150
"SPA1000029","SPANISH",2003,7,513299.72,4386034.03,50,200
"SPA1000033","SPANISH",2003,7,512891.22,4386220.26,34,150
"SPA1000034","SPANISH",2003,7,513093.15,4386217.5,62,130
"SPA1000040","SPANISH",2003,7,514494.14,4386275.55,70,80
"SPA1000041","SPANISH",2003,7,514696.83,4386280.5,28,110
"SPA1000043","SPANISH",2003,7,512664,4386414,21,95
"SPA1000046","SPANISH",2003,7,513303.64,4386421.19,12,160
"SPA1000049","SPANISH",2003,7,516093.27,4386516.5,20,20
"SPA1000051","SPANISH",2003,7,512671,4386618,42,120
"SPA1000052","SPANISH",2003,7,512878.55,4386627.14,28,150
"SPA1000054","SPANISH",2003,7,513282.65,4386636.03,30,110
"SPA1000055","SPANISH",2003,7,513483.8,4386642.7,38,130
"SPA1000056","SPANISH",2003,7,513683.5,4386650.1,68,200
"SPA1000058","SPANISH",2003,7,512475.91,4386810.13,16,75
"SPA1000059","SPANISH",2003,7,512661,4386808,18,175
"SPA1000060","SPANISH",2003,7,512875.05,4386824.4,24,180
"SPA1000061","SPANISH",2003,7,513079.49,4386831.73,56,40
"SPA1000062","SPANISH",2003,7,513274.91,4386836.77,14,90
"SPA1000063","SPANISH",2003,7,513673.99,4386846.55,12,110
"SPA1000064","SPANISH",2003,7,513880.8,4386857.35,27,130
"SPA1000066","SPANISH",2003,7,512471.91,4387010.67,17,100
"SPA1000067","SPANISH",2003,7,512663,4387010,1,120
"SPA1000068","SPANISH",2003,7,517865,4387040,82,220
"SPA1000069","SPANISH",2003,7,513065,4387040,13,80
"SPA1000070","SPANISH",2003,7,513265,4387040,22,150
"SPA1000074","SPANISH",2003,7,512461.34,4387208.97,9,57
"SPA1000075","SPANISH",2003,7,512666.7,4387217.18,35,60
"SPA1000076","SPANISH",2003,7,512865,4387240,23,230
"SPA1000077","SPANISH",2003,7,513065,4387240,30,150
"SPA1000078","SPANISH",2003,7,513265,4387238,1,65
"SPA1000080","SPANISH",2003,7,513860.17,4387251.63,22,90
"SPA1000083","SPANISH",2003,7,515060.92,4387289.38,77,90
"SPA1000085","SPANISH",2003,7,512455.14,4387405.15,24,160
"SPA1000086","SPANISH",2003,7,512654.44,4387417.99,25,170
"SPA1000087","SPANISH",2003,7,512857.58,4387418.81,28,80
"SPA1000088","SPANISH",2003,7,513058.04,4387430.98,22,120
"SPA1000089","SPANISH",2003,7,513257.29,4387430.53,64,119
"SPA1000090","SPANISH",2003,7,514663.28,4387481.22,82,130
"SPA1000091","SPANISH",2003,7,514854.62,4387493.23,94,140
"SPA1000093","SPANISH",2003,7,512448.66,4387604.14,30,115
"SPA1000094","SPANISH",2003,7,512645.9,4387611.78,19,130
"SPA1000095","SPANISH",2003,7,512850.89,4387619.75,48,180
"SPA1000096","SPANISH",2003,7,513050.3,4387626.74,33,95
"SPA1000097","SPANISH",2003,7,513250.1,4387635.03,76,110
"SPA1000099","SPANISH",2003,7,514250.74,4387668.05,56,40
"SPA1000102","SPANISH",2003,7,512639.39,4387812.47,79,130
"SPA1000104","SPANISH",2003,7,513043.75,4387826.57,77,90
"SPA1000111","SPANISH",2003,7,512640.53,4388018.53,6,70
"SPA1000113","SPANISH",2003,7,513037.31,4388028.19,54,82
"SPA1000115","SPANISH",2003,7,514436.09,4388065.09,40,130
"SPA1000119","SPANISH",2003,7,512233.76,4388198.06,25,75
"SPA1000120","SPANISH",2003,7,512434.96,4388207.72,65,100
"SPA1000121","SPANISH",2003,7,512633.11,4388214.01,40,110
"SPA1000122","SPANISH",2003,7,512830.9,4388217.02,80,200
"SPA1000123","SPANISH",2003,7,513030.79,4388223.92,80,101
"SPA1000129","SPANISH",2003,7,512228.93,4388402.72,38,70
"SPA1000130","SPANISH",2003,7,512427.26,4388409.8,4,88
"SPA1000131","SPANISH",2003,7,512619.25,4388409.55,46,130
"SPA1000132","SPANISH",2003,7,512824.03,4388429.52,32,150
"SPA1000134","SPANISH",2003,7,514427.16,4388476.4,89,70
"SPA1000140","SPANISH",2003,7,512218.77,4388598.1,40,1
"SPA1000141","SPANISH",2003,7,512418.33,4388606.97,60,90
"SPA1000142","SPANISH",2003,7,512617.66,4388610.97,58,150
"SPA1000143","SPANISH",2003,7,512818.7,4388620.71,70,140
"SPA1000144","SPANISH",2003,7,514411.96,4388668.2,87,100
"SPA1000150","SPANISH",2003,7,512413.09,4388805.9,5,50
"SPA1000161","SPANISH",2003,7,512404.4,4389003.8,26,90
"SPA1000166","SPANISH",2003,7,513402.85,4389038.25,24,140
"SPA1000167","SPANISH",2003,7,513603.1,4389038.12,88,80
"SPA1000171","SPANISH",2003,7,513399.2,4389236.5,22,80
"SPA1000172","SPANISH",2003,7,513598.63,4389241.59,66,90
"SPA1000173","SPANISH",2003,7,513194.5,4389427.5,57,50
"SPA1000174","SPANISH",2003,7,513396.79,4389438.11,9,40
"SPA1000175","SPANISH",2003,7,513186.51,4389629.7,17,50
"SPA1000176","SPANISH",2003,7,513177.5,4389832.4,13,50
"STY0900001","STRAYLOR",2004,5,659042.82,4523341.89,0,NA
"STY0900002","STRAYLOR",2004,5,659843.15,4523366.85,3,5
"STY0900005","STRAYLOR",2004,5,659048.92,4523140.63,20,150
"STY0900006","STRAYLOR",2004,5,659451.12,4523152.9,30,5
"STY0900007","STRAYLOR",2004,5,659649.03,4523160.26,0,NA
"STY0900008","STRAYLOR",2004,5,659052.52,4522935.62,30,125
"STY0900009","STRAYLOR",2004,5,659256.55,4522948.75,1,5
"STY0900011","STRAYLOR",2004,5,659062.39,4522739.88,35,55
"STY0900013","STRAYLOR",2004,5,659862.55,4522767.44,20,5
"STY0900014","STRAYLOR",2004,5,660061.61,4522773.7,25,5
"STY0900016","STRAYLOR",2004,5,659269.22,4522547.87,6,NA
"STY0900019","STRAYLOR",2004,5,660268.37,4522579.95,25,5
"STY0900021","STRAYLOR",2004,5,659874.55,4522366.69,80,5
"STY0900023","STRAYLOR",2004,5,659084.65,4522139.56,3,10
"STY0900025","STRAYLOR",2004,5,659681.25,4522162.79,20,120
"STY0900027","STRAYLOR",2004,5,660080.81,4522172.55,1,30
"STY0900028","STRAYLOR",2004,5,659289.82,4521946.5,1,5
"STY0900029","STRAYLOR",2004,5,659687.82,4521960.56,40,5
"STY0900031","STRAYLOR",2004,5,660487.76,4521989.84,10,5
"STY0900033","STRAYLOR",2004,5,659495.16,4521754.36,5,5
"STY0900038","STRAYLOR",2004,5,660500.77,4521589.7,1,5
"STY0900042","STRAYLOR",2004,5,660706.32,4521396.03,10,120
"STY0900043","STRAYLOR",2004,5,661106.95,4521408.44,2,50
"STY0900045","STRAYLOR",2004,5,661910,4521435,0.5,5
"STY0900046","STRAYLOR",2004,5,662105,4521442,20,5
"STY0900050","STRAYLOR",2004,5,660713.6,4521196.4,0,NA
"STY0900052","STRAYLOR",2004,5,660523.67,4520991.64,0,NA
"STY0900053","STRAYLOR",2004,5,660720.65,4520996.81,2,5
"STY0900055","STRAYLOR",2004,5,662718,4521060,3,6
"STY0900056","STRAYLOR",2004,5,662925,4520867,18,5
"STY0900057","STRAYLOR",2004,5,663524.63,4520887.92,50,45
"STY0900061","STRAYLOR",2004,5,662931,4520668,3,5
"STY0900062","STRAYLOR",2004,5,663531.79,4520688.17,26,5
"STY0900065","STRAYLOR",2004,5,663337.99,4520481.35,6,35
"STY0900066","STRAYLOR",2004,5,663538.81,4520488.56,42,5
"STY0900071","STRAYLOR",2004,5,664564,4519720.94,30,5
"STY0900072","STRAYLOR",2004,5,664764.28,4519727.89,10,5
"STY0900077","STRAYLOR",2004,5,664788.9,4518928.61,11,125
"STY0900078","STRAYLOR",2004,5,664797.08,4518731.07,4,165
"ZAC1200021","ZACA",2007,5,822961.08,3819618.28,90,72
"ZAC1200023","ZACA",2007,5,823364.22,3829613.32,40,100
"ZAC1200024","ZACA",2007,5,823559.07,3829617.34,71,140
"ZAC1200034","ZACA",2007,5,823336.34,3830249.73,11,109
"ZAC1200036","ZACA",2007,5,823329.7,3830617.52,60,72
"ZAC1200040","ZACA",2007,5,823721.68,3830823.92,30,55
"ZAC1200043","ZACA",2007,5,823520.35,3831022.91,20,60
"ZAC1200084","ZACA",2007,5,799215.44,3833314.82,95,113
"ZAC1200087","ZACA",2007,5,798802.5,3833502.63,95,150
"ZAC1200090","ZACA",2007,5,798597.03,3833687.63,90,130
"ZAC1200095","ZACA",2007,5,830861.55,3840242.81,5,230
"ZAC1200104","ZACA",2007,5,831627.11,3841270.4,15,130
"ZAC1200110","ZACA",2007,5,831820.71,3841679.9,1,110
"ZAC1200122","ZACA",2007,5,831590.91,3842678.54,0.5,165
"ZAC1200126","ZACA",2007,5,831588.92,3842862.46,0,NA
"ZAC1200132","ZACA",2007,5,831972.72,3843080.01,1,44
"ZAC1200133","ZACA",2007,5,832177.43,3843092.54,1,140
"ZSM1200019","ZACA",2007,5,798490.82,3833542.16,2,110
"BAG1318","BAGLEY",2012,4,582958.69978407,4548333.11163918,40,158
"BAG1312","BAGLEY",2012,4,582753.23952415,4548523.97488191,95,155
"BAG1260","BAGLEY",2012,4,582399.203693036,4546913.41783456,100,180
"BAG1308","BAGLEY",2012,4,582760.512565493,4548326.42805833,40,184
"BAG1357","BAGLEY",2012,4,583225.521995115,4546143.34582395,20,84
"BAG1378","BAGLEY",2012,4,583424.014042036,4546349.89323701,25,175
"BAG1545","BAGLEY",2012,4,584586.044077469,4547381.34164124,80,149
"BAG1535","BAGLEY",2012,4,584595.899739332,4547182.71520888,25,152
"BAG1614","BAGLEY",2012,4,585336.632857126,4542809.03285825,95,83
"BAG1651","BAGLEY",2012,4,585731.887932232,4543015.71193418,95,187
"BAG1633","BAGLEY",2012,4,585536.714928217,4542810.25282383,85,151
"BAG1640","BAGLEY",2012,4,585528.461882692,4543013.33722768,60,151
"BAG1626","BAGLEY",2012,4,585524.489640081,4543209.80994426,40,188
"BAG1045","BAGLEY",2012,4,580899.73713195,4544061.09540139,95,174
"BAG1085","BAGLEY",2012,4,581276.176384295,4544680.34343921,50,165
"BAG1089","BAGLEY",2012,4,581269.833053904,4544873.45888994,50,76
"BAG1061","BAGLEY",2012,4,581081.276084102,4544671.52380871,75,121
"BAG1693","BAGLEY",2012,4,585922.821013806,4543223.34748791,85,125
"BAG1349","BAGLEY",2012,4,583223.302984482,4546338.72872921,55,147
"CHI0087","CHIPS",2012,4,641310.210428285,4439996.83199718,20,22
"CHI0073","CHIPS",2012,4,641112.570236196,4439986.48788164,45,50
"CHI2220","CHIPS",2012,5,660882.38466554,4447441.07304076,60,43
"CHI2216","CHIPS",2012,5,660889.16653274,4447242.43098235,60,108
"CHI0105","CHIPS",2012,4,641662.113961363,4441607.91494015,50,47
"CHI0117","CHIPS",2012,4,641861.499307106,4441613.86643098,80,80
"CHI0119","CHIPS",2012,4,641867.776385753,4441415.22354453,60,39
"CHI0123","CHIPS",2012,4,642079.710689446,4441025.00476718,50,50
"CHI0103","CHIPS",2012,4,641689.273573452,4440611.29125325,80,50
"CHI0262","CHIPS",2012,4,645412.298874801,4443130.28126896,38,59
"CHI0254","CHIPS",2012,4,645212.099922181,4443124.21886236,2,5
"CHI0251","CHIPS",2012,4,645219.297042793,4442926.70236747,60,82
"CHI0256","CHIPS",2012,4,645232.114782164,4442524.97680728,15,103
"CHI1767","CHIPS",2012,4,659181.133785496,4438383.2328189,50,33
"CHI2475","CHIPS",2012,5,662216.811666475,4448309.15358101,93,67
"CHI0174","CHIPS",2012,4,643422.196817295,4442667.04340388,60,65
"CHI1248","CHIPS",2012,4,661164.28467657,4439034.79168754,3,20
"CHI2277","CHIPS",2012,4,661368.567480763,4438854.78886379,NA,34
"CHI2333","CHIPS",2012,4,661773.51567145,4438665.74256366,30,130
"CHI1922","CHIPS",2012,4,659768.591217296,4438802.03283574,75,105
"CUB0300","CUB",2008,8,632372.859953753,4451406.35286636,15,75
"CUB0366","CUB",2008,8,632470.598272237,4454811.30428037,95,82
"CUB0365","CUB",2008,8,632546.728526758,4452414.27182672,85,86
"CUB","CUB",2008,8,632529.520976898,4452812.58696982,45,NA
"CUB0477","CUB",2008,8,633239.628952125,4455838.60878363,65,160
"CUB0361","CUB",2008,8,632559.881922816,4451810.4703888,80,112
"CUB0364","CUB",2008,8,632559.739824036,4452012.55218349,80,120
"CUB0384","CUB",2008,8,632737.206635295,4452619.70284173,75,72
"CUB0363","CUB",2008,8,632538.23185897,4452607.32430117,95,128
"CUB0265","CUB",2008,8,631719.451868799,4453185.92157668,90,88
"CUB0260","CUB",2008,8,631709.158052189,4453385.60505062,85,160
"CUB0264","CUB",2008,8,631704.008450485,4453583.15764628,55,150
"CUB0280","CUB",2008,8,631913.256869555,4453395.83142554,75,147
"CUB0278","CUB",2008,8,631907.270442005,4453592.25913036,50,110
"CUB0279","CUB",2008,8,631942.560741206,4452595.78024382,60,103
"CUB0277","CUB",2008,8,631916.729346922,4453197.13913802,85,110
"PEA0125","PEAK",2012,4,721881.405573527,4434262.17170142,55,NA
"PEA0176","PEAK",2012,4,722486.138788008,4434086.53583413,50,75
"PEA0124","PEAK",2012,4,721884.552370627,4434066.71805322,5,70
"PEA0177","PEAK",2012,4,722484.017617292,4433896.48241654,25,91
"PEA0121","PEAK",2012,4,721680.860388021,4434256.3163221,50,60
"PIT0241","BTU LIGHTENING",2008,8,633102.813634935,4412153.84084459,40,150
"PIT0197","BTU LIGHTENING",2008,8,631512.283838928,4411883.17445514,0,NA
"PIT0234","BTU LIGHTENING",2008,8,632706.232266971,4412124.74331478,35,2
"PIT0233","BTU LIGHTENING",2008,8,632704.527158172,4411927.08374434,NA,160
"PIT0238","BTU LIGHTENING",2008,8,632898.650219447,4412132.52574695,35,230
"STR0084","STRAYLOR",2004,12,659681.720392693,4522159.01261503,40,39
"STR0265","STRAYLOR",2004,12,663531.535070292,4520687.16770385,40,100
"STR0264","STRAYLOR",2004,12,663526.268926239,4520886.97677479,70,66
"STR0091","STRAYLOR",2004,12,659874.625794268,4522366.43923724,55,89
"STR0101","STRAYLOR",2004,12,660082.109535522,4522173.23405018,7,70
"richter.27","POWER",2004,12,746432,4266840,NA,NA
"richter.37","POWER",2004,12,741237,4266272,NA,NA
"richter.56","POWER",2004,12,730469,4265508,NA,NA
"richter.66","POWER",2004,12,742653,4265915,NA,NA
"richter.103","POWER",2004,12,741661,4265489,NA,NA
"richter.106","POWER",2004,12,742661,4265511,NA,NA
"richter.109","POWER",2004,12,730859,4267933,NA,NA
"richter.110","POWER",2004,12,731059,4264940,NA,NA
"richter.112","POWER",2004,12,733462,4265018,NA,NA
"richter.113","POWER",2004,12,733660,4265023,NA,NA
"richter.143","POWER",2004,12,738671,4264989,NA,NA
"richter.145","POWER",2004,12,739073,4265001,NA,NA
"richter.146","POWER",2004,12,739273,4265005,NA,NA
"richter.158","POWER",2004,12,733868,4264632,NA,NA
"richter.179","POWER",2004,12,733476,4264419,NA,NA
"richter.187","POWER",2004,12,737485,4264549,NA,NA
"richter.188","POWER",2004,12,738691,4264589,NA,NA
"richter.222","POWER",2004,12,737109,4263942,NA,NA
"richter.259","POWER",2004,12,736778,4263133,NA,NA
