"","Regen_Plot","ID","Fire","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","dominant_shrub_ht_cm","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","entered_by","entered_on","CGA","ExistVeg","dominant_shrub_3","x","y","optional","rel_yrs","plant_yrs","salv_yrs","survey_year","survey.years.post","released","salvaged","planted","managed"
"348","STY0900024","381","STRAYLOR","7/14/2009 0:00:00","kw/bs",2004,"1351","WGS84 UTM zone 10",659281.5,4522144.35,"8","28","volc",NA,"0","50","35","10","5","30","3","2","NA","NA","10","0","1","5",NA,"NA","NA","0.25","1","6","0","6","Cheatgrass","NA","NA","NA","20","120","0","120","70","16.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",659281.5,4522144.35,"TRUE","","2006","",2009,5,0,0,1,1
"349","STY0900037","376","STRAYLOR","7/14/2009 0:00:00","kw/bs",2004,"1357","WGS84 UTM zone 10",660100.41,4521575.33,"334","10","volc",NA,"15","0.5","60","15","10","20","15","25","NA","NA","0","0","1","5",NA,"NA","NA","0","0.5","0","0","0","Planted area, burnt CEBE in plot, Cheatgrass +, LACE -.","NA","NA","NA","20","0","0","0","NA","85.76","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",660100.41,4521575.33,"TRUE","","2008, 2007","",2009,5,0,0,1,1
"350","STY0900060","345","STRAYLOR","7/16/2009 0:00:00","cc/eo",2004,NA,"WGS84 UTM zone 10",662731,4520661,"226","12","volc",NA,"20","1","71","5","3","59","5","7","NA","NA","5","0","1","5",NA,"NA","NA","0","0","6","0","6","Near topographic low point.","NA","NA","NA","20","120","0","120","5","38","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",662731,4520661,"TRUE","","2007","",2009,5,0,0,1,1
"351","CHI0224","3292","CHIPS","8/10/2016 0:00:00","DS JB",2012,"A0431","NA",644601.91764316,4443116.98455537,"NA","NA","VOLCANIC?","NA","NA","2","NA","NA","NA","0","0.5","0","0","95","NA","95","NA","0","NA","NA","NA","NA","NA","NA","12","NA",NA,"0.5","0.5","95","20","0","240","0","NA","1.3","CHI","1.3","NA","2.2","ABCO","ABMA",NA,"NA","NA","NA","NA","NA",NA,NA,"New","Control",NA,"CC","11/8/2016 0:00:00","NA","NA","NA",644601.91764316,4443116.98455537,"TRUE","","","2015",2016,4,0,1,0,1
"352","CHI0106","3278","CHIPS","8/10/2016 0:00:00","GS JB DS",2012,"A0407","NA",650195.976998307,4441373.63714931,"NA","NA","VOLCANIC?","NA","NA","5","NA","NA","NA","70","0.5","0","0","0","NA","0","NA","5","NA","NA","NA","NA","NA","NA","0","NA",NA,"0.5","70","0","5","0","0","0","67","90","CHI","90","NA","90","ABCO","ABMA",NA,"1","1","NA","3","NA","CEVE",NA,"New","High sev",NA,"CC","11/8/2016 0:00:00","NA","NA","NA",650195.976998307,4441373.63714931,"TRUE","","","2014",2016,4,0,1,0,1
"353","CHI1886","3097","CHIPS","8/10/2016 0:00:00","DY, IA, GS",2012,"A0314","NA",659782.97101528,4438200.43763199,"NA","NA","GRANITE?C","NA","NA","25","NA","NA","NA","10","65","0.5","2","0","NA","0","NA","5","NA","NA","NA","NA","NA","NA","0","NA",NA,"65","75","0","5","0","0","0","40","68","CHI","NA","NA","68","PIPO","PSME",NA,"NA","NA","NA","NA","NA","QUVA","NA","New","High sev",NA,"DS","7/12/2016 0:00:00","NA","NA","NA",659782.97101528,4438200.43763199,"TRUE","","","2013, 2013",2016,4,0,1,0,1
"354","CHI0194","3339","CHIPS","8/10/2016 0:00:00","GS IA",2012,"A0394","NA",644028.4911625,4443283.72248362,"NA","NA","VOLCANIC","NA","NA","1","NA","NA","NA","1","0","0","0","15","NA","15","NA","0","NA","NA","NA","NA","NA","NA","6","NA","WE HAD TO MOVE 20 M BECAUSE IT WAS TO CLOSE TO ROAD. 4 OLD CUT STUMPS INSIDE THE PLOT. THIS IS ISAS LAST PLOT","0","1","15","20","0","120","0","19","4.4","CHI","4.4","NA","4.4","ABCO","ABMA",NA,"NA","NA","NA","NA","NA","RIMO",NA,"New","Control",NA,"CC","11/8/2016 0:00:00","NA","NA","NA",644028.4911625,4443283.72248362,"TRUE","","","2015",2016,4,0,1,0,1
"355","PEA0141","3218","PEAK","8/10/2016 0:00:00","DS JB",2012,"B0543","NA",722089.867973645,4434289.37393908,"NA","NA","VOLCANIC","NA","NA","5","NA","NA","NA","75","8","2","0","0","NA","0","NA","5","NA","NA","NA","NA","NA","NA","0","NA","PREM? PHOTO CAMERA B 0544","10","85","0","5","0","0","0","190","202","PEA","202","NA","202","PIJE",NA,NA,"1","2","NA","NA","NA","SALIX",NA,"New","High sev",NA,"CC","9/30/2016 0:00:00","NA","NA","NA",722089.867973645,4434289.37393908,"TRUE","","2014","2013",2016,4,0,1,1,1
"356","POW0549","NA","POWER","8/10/2016 0:00:00","MR,PE,GS,DS,JB",2004,"NA","NA",743633,4267012,"NA","NA","Granite","NA","10","3","15","70","NA","50","0","0","0","20","0","20","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","20","NA","NA","NA","NA","4","POW","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",743633,4267012,"TRUE","2005","","",2016,12,1,0,0,1
"357","richter.9","NA","POWER","8/10/2016 0:00:00","MR, PE",2004,"NA","NA",739992,4267632,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","5","6","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ric","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","100","PIPO, PIJE PILA","NA",739992,4267632,"TRUE","","","2005",2016,12,0,1,0,1
"358","richter.35","NA","POWER","8/10/2016 0:00:00","MR, PE",2004,"NA","NA",730432,4265919,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","5","6","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ric","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","100","PIPO, PILA, CADE","NA",730432,4265919,"TRUE","","","2005",2016,12,0,1,0,1
"359","richter.194","NA","POWER","8/10/2016 0:00:00","MR, PE",2004,"NA","NA",734693,4264260,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","6","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ric","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","100","PIPO, CADE, QUCH","NA",734693,4264260,"TRUE","","","2006",2016,12,0,1,0,1
"360","richter.207","NA","POWER","8/10/2016 0:00:00","MR, PE",2004,"NA","NA",734895,4264065,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","6","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ric","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","100","PIPO, CADE, QUKE","NA",734895,4264065,"TRUE","","","2006",2016,12,0,1,0,1
"361","richter.301","NA","POWER","8/10/2016 0:00:00","MR, PE",2004,"NA","NA",737220,4263275,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","6","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ric","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","100","PIPO, QUCH, QUKE","NA",737220,4263275,"TRUE","","2005","",2016,12,0,0,1,1
"362","richter.71B","NA","POWER","8/10/2016 0:00:00","MR, PE",2004,"NA","NA",732909,4263624,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","3","6","16","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ric","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","100","PIPO, PILA, ABCO","NA",732909,4263624,"TRUE","2006","2006","",2016,12,1,0,1,1
"363","richter.72D","NA","POWER","8/10/2016 0:00:00","MR, PE",2004,"NA","NA",731307,4263347,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","5","6","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ric","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","100","PIPO, CADE, PILA","NA",731307,4263347,"TRUE","2007","2007","",2016,12,1,0,1,1
"364","richter.812A","NA","POWER","8/10/2016 0:00:00","MR, PE",2004,"NA","NA",746637,4266838,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","6","12","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ric","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","100","PIJE, CADE, QUKE","NA",746637,4266838,"TRUE","2008, 2012","2006","",2016,12,1,0,1,1
