"","Regen_Plot","ID","Fire","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","dominant_shrub_ht_cm","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","entered_by","entered_on","CGA","ExistVeg","dominant_shrub_3","x","y","optional","rel_yrs","plant_yrs","salv_yrs","survey_year","survey.years.post","released","salvaged","planted","managed"
"11","ANT1201777","1882","ANTELOPE","9/4/2012 0:00:00","CP, EA, JM",2007,"ANT2733 CP","NAD83 UTM zone 10",703597.48,4448166.28,"184","24","GRANITE",NA,"20","0","0.5","74","6","25","0","20","0","0.5","2","0","1","4",NA,"NA","NA","0","0.5","7","3","4","BAF 10","20","45","0.5","10","70","30","40","6","13.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",703597.48,4448166.28,"TRUE","","2010","2009",2012,5,0,1,1,1
"12","ANT1201779","1883","ANTELOPE","9/4/2012 0:00:00","CP, EA, JM",2007,"ANT2731 CP","NAD83 UTM zone 10",703795.45,4448178.95,"315","25","GRANITE",NA,"10","4","0.5","82","4","55","1","11","0","0","6","0","1","5",NA,"NA","NA","0","1","7","0","7","BAF 10","12","67","0","10","70","0","70","80","116","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",703795.45,4448178.95,"TRUE","","2009","",2012,5,0,0,1,1
"13","ANT1201781","1884","ANTELOPE","9/4/2012 0:00:00","CP, EA, JM",2007,"ANT2730 CP","NAD83 UTM zone 10",703997.01,4448185.3,"28","26","GRANITE",NA,"0","15","1","69","15","95","0.5","0.5","0","0","1","0","1","5",NA,"NA","NA","0.5","1.5","7","0","7","BAF 10","0.5","95","0","10","70","0","70","130","125","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",703997.01,4448185.3,"TRUE","","2009","",2012,5,0,0,1,1
"14","ANT1201783","1885","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"ANT2755 CP","NAD83 UTM zone 10",704192.23,4448186.53,"310","20","GRANITE",NA,"20","0","0.5","74","6","26","1","10","0","0","2","0","1","5",NA,"NA","NA","0","1","8","0","8","BAF 10.","11","37","0","10","80","0","80","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",704192.23,4448186.53,"TRUE","","2009","",2012,5,0,0,1,1
"15","ANT1201785","1886","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"ANT2754 CP","NAD83 UTM zone 10",704397.26,4448194.84,"276","38","GRANITE",NA,"3","4","0.5","88","5","21","2","70","0","0","5","0","1","5",NA,"NA","NA","0","1","6","0","6","BAF 10","70","8","0","10","60","0","60","60","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",704397.26,4448194.84,"TRUE","","2009","",2012,5,0,0,1,1
"16","ANT1201787","1887","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"ANT2753 CP","NAD83 UTM zone 10",704596.74,4448204.68,"48","16","GRANITE",NA,"10","0","1","89","0","42","0.5","15","0","0","10","0","1","5",NA,"NA","NA","0.5","1.5","7","0","7","BAF 20","15","57","0","20","140","0","140","90","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",704596.74,4448204.68,"TRUE","","2009","",2012,5,0,0,1,1
"17","ANT1201789","1888","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2752 CP","NAD83 UTM zone 10",704796.58,4448208.07,"230","20","GRANITE",NA,"2","15","0.5","58","15","41","0.5","0.5","0","0","0","0","1","5",NA,"NA","NA","0","1","5","0","5","BAF 5","15","80","0","5","25","0","25","80","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",704796.58,4448208.07,"TRUE","","2009","",2012,5,0,0,1,1
"18","ANT1201791","1889","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2751 CP","NAD83 UTM zone 10",704996.34,4448211.81,"330","38","GRANITE",NA,"35","8","0.5","51","6","37","3","0.5","0","0.5","3","0","1","5",NA,"NA","NA","0","1","7","0","7","BAF 20","3","40","0.5","20","140","0","140","75","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",704996.34,4448211.81,"TRUE","","2009","",2012,5,0,0,1,1
"19","ANT1201793","1890","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2749 CP","NAD83 UTM zone 10",705201.64,4448225.81,"12","15","GRANITE",NA,"3","0.5","0.5","96","1","8","2","60","0","0.5","0","0","1","5",NA,"NA","NA","0","1","6","0","6","BAF 5","62","70","0.5","5","30","0","30","120","168","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705201.64,4448225.81,"TRUE","","2009","",2012,5,0,0,1,1
"20","ANT1201796","1891","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2748 CP","NAD83 UTM zone 10",705397.06,4448226.96,"4","48","GRANITE",NA,"7","15","1","72","5","62","0.5","1","0","0","0.5","0","1","5",NA,"NA","NA","0.5","1","6","0","6",NA,"1","63","0","20","120","0","120","75","161","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705397.06,4448226.96,"TRUE","","2009","",2012,5,0,0,1,1
"21","ANT1201799","1892","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2747 CP","NAD83 UTM zone 10",705398.39,4448235.5,"148","35","GRANITE",NA,"0.5","10","0.5","90","0","30","0.5","60","0","0","0","0","1","5",NA,"NA","NA","0","3","5","0","5","BAF 10","60","90","0","10","50","0","50","90","135","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705398.39,4448235.5,"TRUE","","2009","",2012,5,0,0,1,1
"22","ANT1201830","1893","ANTELOPE","9/4/2012 0:00:00","CP, EA, JM",2007,"2720 CP","NAD83 UTM zone 10",702789.36,4448349.52,"302","82","GRANITE",NA,"3","35","1","60","1","9","5","26","0","45","0","45","1","2",NA,"NA","NA","0","1.5","5","5","0","BAF 20","30","39","45","20","100","100","0","8","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",702789.36,4448349.52,"TRUE","","2010","2009",2012,5,0,1,1,1
"23","ANT1201832","1894","ANTELOPE","9/4/2012 0:00:00","CP, EA, JM",2007,"2721 CP","NAD83 UTM zone 10",702984.88,4448347.88,"270","45","GRANITE",NA,"0","25","0.5","70","5","55","0.5","40","0","0","0","0","1","4",NA,"NA","NA","0","1","5","0","5","BAF 20","40","95","0","20","100","0","100","133","33.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",702984.88,4448347.88,"TRUE","","2010","2009",2012,5,0,1,1,1
"24","ANT1201838","1897","ANTELOPE","9/4/2012 0:00:00","CP, EA, JM",2007,"2725 CP","NAD83 UTM zone 10",703591.62,4448368.64,"270","36","GRANITE",NA,"8","1","1","88","2","23","1","5","0","30","0","15","1","1",NA,"NA","NA","0.5","1.5","5","5","0","BAF 10","6","55","30","10","50","50","0","120","45","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",703591.62,4448368.64,"TRUE","","2010","2009",2012,5,0,1,1,1
"25","ANT1201840","1898","ANTELOPE","9/4/2012 0:00:00","CP, EA, JM",2007,"2727 CP","NAD83 UTM zone 10",703791.01,4448370.26,"67","18","GRANITE",NA,"0.5","0","0.5","90","10","10","0.5","80","0","0.5","0","0.5","1","3",NA,"NA","NA","0.5","2","6","5","1","BAF 10","80","90","0.5","10","60","50","10","9","8.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",703791.01,4448370.26,"TRUE","","2009","",2012,5,0,0,1,1
"26","ANT1201842","1899","ANTELOPE","9/4/2012 0:00:00","CP, EA, JM",2007,"2728 CP","NAD83 UTM zone 10",703990.11,4448377.01,"169","31","GRANITE",NA,"1","0.5","0.5","95","4","11","0.5","50","0","0","15","0","1","5",NA,"NA","NA","0","0.5","10","0","10","BAF 10","50","55","0","10","100","0","100","9","47.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",703990.11,4448377.01,"TRUE","","2009","",2012,5,0,0,1,1
"27","ANT1201844","1900","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2739 CP","NAD83 UTM zone 10",704189.86,4448385.04,"341","40","GRANITE",NA,"2","0","0.5","94","4","92","0.5","2","0","0.5","8","0","1","5",NA,"NA","NA","0","1.5","7","0","7","BAF 5","2","92","0.5","5","35","0","35","150","158","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",704189.86,4448385.04,"TRUE","","2009","",2012,5,0,0,1,1
"28","ANT1201846","1901","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2740 CP","NAD83 UTM zone 10",704392.31,4448393.56,"358","47","GRANITE",NA,"2","0","0.5","97","1","81","3","7","0","0","4","0","1","5",NA,"NA","NA","0.5","0.5","11","0","11","BAF 20","10","90","0","20","220","0","220","60","89.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",704392.31,4448393.56,"TRUE","","2009","",2012,5,0,0,1,1
"29","ANT1201848","1902","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2741 CP","NAD83 UTM zone 10",704587.8,4448412.27,"310","22","GRANITE",NA,"0.5","0.5","0.5","94","6","85","20","8","0","0","10","0","1","5",NA,"NA","NA","0.5","1.5","10","0","10","BAF 20","28","90","0","20","200","0","200","95","105","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",704587.8,4448412.27,"TRUE","","2009","",2012,5,0,0,1,1
"30","ANT1201850","1903","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2742 CP","NAD83 UTM zone 10",704790.88,4448404.12,"95","12","GRANITE",NA,"0","0","1","94","5","95","0.5","5","0","0.5","5","0","1","5",NA,"NA","NA","0","1.5","7","0","7","BAF 10","5","95","0.5","10","70","0","70","120","36.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",704790.88,4448404.12,"TRUE","","2009","",2012,5,0,0,1,1
"31","ANT1201852","1904","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2743 CP","NAD83 UTM zone 10",704987.33,4448418.04,"38","32","GRANITE",NA,"3","0","0.5","77","20","80","3","4","0","0","4","0","1","5",NA,"NA","NA","0.5","1","6","0","6","BAF 20","7","85","0","20","120","0","120","80","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",704987.33,4448418.04,"TRUE","","2009","",2012,5,0,0,1,1
"32","ANT1201854","1905","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2744 CP","NAD83 UTM zone 10",705188.13,4448419.02,"250","30","GRANITE",NA,"52","7","1","30","10","57","2","10","0","0","20","0","1","5",NA,"NA","NA","0.5","1","11","0","11","BAF 20","12","69","0","20","220","0","220","90","145","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705188.13,4448419.02,"TRUE","","2009","",2012,5,0,0,1,1
"33","ANT1201856","1906","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2745 CP","NAD83 UTM zone 10",705392.49,4448439.46,"132","11","GRANITE",NA,"5","0.5","0.5","90","5","25","0.5","25","0","0","0","0","1","5",NA,"NA","NA","0","1.5","4","0","4","BAF 5","25","50","0","5","20","0","20","70","72","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705392.49,4448439.46,"TRUE","","2009","",2012,5,0,0,1,1
"34","ANT1201860","1907","ANTELOPE","9/5/2012 0:00:00","CP, EA, JM",2007,"2746 CP","NAD83 UTM zone 10",705589.11,4448438.76,"320","48","GRANITE",NA,"10","0.5","0.5","90","0.5","3","0.5","3","0","15","1","15","1","3",NA,"NA","NA","0.5","1","9","7","2","BAF 10","3","3","15","10","90","70","20","80","4.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705589.11,4448438.76,"TRUE","","2009","",2012,5,0,0,1,1
"35","BST1100066","1239","BASSETTS","7/8/2011 0:00:00","CR, TR",2006,"0106 TR","NAD83 UTM zone 10",706001.02,4388561.57,"124","12","GRANITE",NA,"0.5","70","2","8","20","2","1","0","0","90","5","90","1","2",NA,"NA","NA","0","2","21","19","2","SAPLINGS DEAD; SCORCH ~15 M","1","3","90","20","420","380","40","30","1.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",706001.02,4388561.57,"TRUE","","2008","2007",2011,5,0,1,1,1
"36","BST1100071","1244","BASSETTS","7/6/2011 0:00:00","CP, MS, KW",2006,"2421 CP","NAD83 UTM zone 10",707000.32,4388592.91,"160","36","GRANITE",NA,"20","10","2","58","10","85","2","0.5","0","0","2","0","1","5","S","NA","NA","0","0.2","1","0","1","SALVAGE LOGGING - PROBABLY BY HELICOPTER","2","85","0","20","20","0","20","60","108","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707000.32,4388592.91,"TRUE","","2008","2007",2011,5,0,1,1,1
"37","BST1100072","1245","BASSETTS","7/6/2011 0:00:00","CP, MS, KW",2006,"2422 CP","NAD83 UTM zone 10",707206.71,4388604.71,"88","39","GRANITE",NA,"15","0.5","1","82.5","1","85","20","10","0","0","0","0","1","5","S","NA","NA","0","1","0","0","0","SALVAGE LOGGING","30","90","0","20","0","0","0","80","11.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707206.71,4388604.71,"TRUE","","2008","2007",2011,5,0,1,1,1
"38","BST1100090","1249","BASSETTS","7/6/2011 0:00:00","CR, TR",2006,"0061 TR","NAD83 UTM zone 10",706198.78,4388767.89,"84","37","GRANITE",NA,"70","5","0.5","10","15","1","3","2","0","1","0","0","1","5","S","NA","NA","0","1","1","0","1","SALVAGE LOGGING","5","6","1","20","20","0","20","30","27.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",706198.78,4388767.89,"TRUE","","2008","2007",2011,5,0,1,1,1
"39","BST1100110","1252","BASSETTS","7/7/2011 0:00:00","CP, MS",2006,"2468 CP","NAD83 UTM zone 10",705392.04,4388937.1,"198","10","GRANITE",NA,"2","8","1","79","10","50","6","0","0","8","25","8","1","4",NA,"NA","NA","1","0.5","9","1","8","REALLY HIGH FIRE BURN SEVERITY IN SURROUNDING AREA","6","65","8","20","180","20","160","20","1.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705392.04,4388937.1,"TRUE","","","2007",2011,5,0,1,0,1
"40","BST1100111","1254","BASSETTS","7/7/2011 0:00:00","CP, MS",2006,"2444 CP","NAD83 UTM zone 10",705593.02,4388947.55,"110","9","GRANITE",NA,"1","12","1","51","35","13","16","0.5","0","40","30","40","1","2",NA,"NA","NA","0.1","0.5","6","1","5",NA,"20","30","40","20","120","20","100","50","3.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705593.02,4388947.55,"TRUE","2009","2008","",2011,5,1,0,1,1
"41","BST1100113","1259","BASSETTS","7/6/2011 0:00:00","CR, TR",2006,"0064 TR","NAD83 UTM zone 10",705993.08,4388959.89,"82","40","GRANITE",NA,"2","35","1","5","57","60","5","0.5","0","1","0","0","1","5","S","NA","NA","0","1","2","0","2","SLASH/SALVAGE LOGGING","5","65","1","20","40","0","40","1.25","60.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705993.08,4388959.89,"TRUE","","2008","2007",2011,5,0,1,1,1
"42","BST1100114","1262","BASSETTS","7/6/2011 0:00:00","CR, TR",2006,"0063 TR","NAD83 UTM zone 10",706199.41,4388964.03,"80","20","GRANITE",NA,"10","15","1","64","10","10","20","0.5","0","1","2","0","1","5","S","NA","NA","0","1","4","0","4","SLASH","20","60","1","20","80","0","80","60","18.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",706199.41,4388964.03,"TRUE","","2008","2007",2011,5,0,1,1,1
"43","BST1100117","1263","BASSETTS","7/6/2011 0:00:00","CP, MS, KW",2006,"2429 CP","NAD83 UTM zone 10",706795.44,4388984.15,"252","55","GRANITE",NA,"6","2","4","73","15","0.5","0.5","0.5","0","75","15","75","1","3",NA,"NA","NA","0","1","14","13","1",NA,"0.5","0.5","75","20","280","260","20","20","1.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",706795.44,4388984.15,"TRUE","","2008","",2011,5,0,0,1,1
"44","BST1100136","1271","BASSETTS","7/7/2011 0:00:00","CP, MS",2006,"2445 CP","NAD83 UTM zone 10",705585.98,4389143.01,"40","13","GRANITE",NA,"35","30","0.5","26.5","7","20","2","0.5","0","0","0","0","1","3",NA,"NA","NA","0","0.2","3","1","2","CANT FIND ANY CADE OR PIPO SEED SOURCES -- TOO FAR AWAY","2","30","0","20","60","20","40","30","17.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705585.98,4389143.01,"TRUE","2009","2008","2007",2011,5,1,1,1,1
"45","BST1100137","1273","BASSETTS","7/6/2011 0:00:00","CR, TR",2006,"0067 TR","NAD83 UTM zone 10",705781.89,4389154.66,"254","32","GRANITE",NA,"1","5","1","83","10","30","60","5","0","5","5","0","1","5",NA,"NA","NA","0","1","5","0","5",NA,"60","90","5","20","100","0","100","40","19.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705781.89,4389154.66,"TRUE","2009","2008","2007",2011,5,1,1,1,1
"46","BST1100161","1282","BASSETTS","7/7/2011 0:00:00","CP, MS",2006,"2446 CP","NAD83 UTM zone 10",705383.3,4389340.67,"220","8","GRANITE",NA,"20","8","0.5","66.5","5","60","0","0","0","0","5","0","1","4",NA,"NA","NA","0","0.3","6","1","5","VERY DRY","0","70","0","20","120","20","100","25","11.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705383.3,4389340.67,"TRUE","2008","2007","",2011,5,1,0,1,1
"47","BST1100162","1283","BASSETTS","7/7/2011 0:00:00","CP, MS",2006,"2446 CP","NAD83 UTM zone 10",705578.41,4389347.18,"110","16","GRANITE",NA,"3","2","0.5","90.5","4","18","2","25","0","25","0","25","1","1","S","NA","NA","0","0.2","6","6","0","NO SNAGS; SALVAGE LOGGING NEAR PLOT (NORTH SIDE); PASSED BY A MARSH ECOSYSTEM GETTING HERE (SOUTH SIDE)","27","35","25","20","120","120","0","18","5.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705578.41,4389347.18,"TRUE","2008","2007","",2011,5,1,0,1,1
"48","BST1100163","1460","BASSETTS","7/6/2011 0:00:00","CR, TR",2006,"0070 - TR","NAD83 UTM zone 10",705784.99,4389354.76,"164","15","GRANITE",NA,"1","1","2","96","1","10","1","10","0","65","1","60","1","1",NA,"NA","NA","0","2","8","8","0","HALF PLOT UNBURNED; HALF ONLY SAPLINGS DEAD","10","25","65","20","160","160","0","35","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705784.99,4389354.76,"TRUE","2009","2008","",2011,5,1,0,1,1
"49","BST1100172","1461","BASSETTS","7/8/2011 0:00:00","CP, MS, KW",2006,"2471 - CP","NAD83 UTM zone 10",707581.35,4389407.05,"130","30","GRANITE",NA,"10","3","1","83","3","80","4","0","0","0","0","0","1","5","S","NA","NA","0","0.5","0","0","0","SALVAGE LOGGED; PLANTED PIPO AND PILA","4","85","0","20","0","0","0","60","24.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707581.35,4389407.05,"TRUE","2008","2008, 2008","2007, 2007",2011,5,1,1,1,1
"50","BST1100194","1296","BASSETTS","8/12/2011 0:00:00","CP, MS",2006,"2607 CP","NAD83 UTM zone 10",706970.46,4389593.24,"270","23","GRANITE",NA,"30","2","1","65","2","55","30","0","0","1","4","0","1","5","P","NA","NA","0","0.3","4","0","4","PLANTED PSMES AND PIPOS IN AREA AROUND PLOT","30","75","1","20","80","0","80","170","46","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",706970.46,4389593.24,"TRUE","2008","2007","",2011,5,1,0,1,1
"51","BST1100195","1297","BASSETTS","8/12/2011 0:00:00","CP, MS",2006,"2606 CP","NAD83 UTM zone 10",707173.14,4389596.51,"180","38","GRANITE",NA,"30","1","1","66","2","60","0.5","0","0","0","0","0","1","5",NA,"NA","NA","0","0.5","0","0","0",NA,"0.5","60","0","20","0","0","0","150","27","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707173.14,4389596.51,"TRUE","2008","2007","",2011,5,1,0,1,1
"52","BST1100197","1301","BASSETTS","8/12/2011 0:00:00","CP, MS",2006,"2603 CP","NAD83 UTM zone 10",707582.26,4389614.99,"135","31","GRANITE",NA,"15","2","2","76","5","35","20","0","0","20","10","20","1","4","P","NA","NA","0","0.5","1","1","0","PIPOS PLANTED IN AREA","20","55","20","20","20","20","0","109","2.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707582.26,4389614.99,"TRUE","2008, 2011","2008, 2007, 2008","2007, 2007",2011,5,1,1,1,1
"53","BST1100198","1467","BASSETTS","7/8/2011 0:00:00","CP, MS, KW",2006,"2472 - CP","NAD83 UTM zone 10",707763.01,4389616.23,"138","30","GRANITE",NA,"20","10","1","54","15","1","30","0","0","10","6","10","1","4",NA,"NA","NA","0","1","17","12","5","LOTS OF PTAQ FOR COVER","30","30","10","20","340","240","100","15","9.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707763.01,4389616.23,"TRUE","2011","2008","",2011,5,1,0,1,1
"54","BST1100255","1478","BASSETTS","7/7/2011 0:00:00","CR, TR, KW",2006,"0082 - TR","NAD83 UTM zone 10",705555.49,4390134.88,"202","24","GRANITE",NA,"0.5","30","3","65","2","15","0.5","0.5","0","85","0.5","85","1","0",NA,"NA","NA","5","1","10","10","0",NA,"0.5","25","85","20","200","200","0","60","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",705555.49,4390134.88,"TRUE","2007, 2009","","",2011,5,1,0,0,1
"55","BST1100265","1206","BASSETTS","8/9/2011 0:00:00","CR, TR, KW",2006,"0056 TR","NAD83 UTM zone 10",707551.32,4390211.25,"144","42","GRANITE",NA,"5","2","1","88","4","55","25","0","0","0.5","4","0","1","5",NA,"NA","NA","0","1","8","1","7",NA,"25","90","0.5","20","160","20","140","90","31.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707551.32,4390211.25,"TRUE","2008","2007","",2011,5,1,0,1,1
"56","BST1100267","1214","BASSETTS","8/9/2011 0:00:00","CR, TR, KW",2006,"0058 TR","NAD83 UTM zone 10",707955.22,4390218.58,"236","55","GRANITE",NA,"20","20","1","58","1","45","1","0","0","0.5","5","0","1","5","P","NA","NA","0","0.5","3","0","3","AREA PLANTED","1","55","0.5","20","60","0","60","80","62.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",707955.22,4390218.58,"TRUE","2007","2007","",2011,5,1,0,1,1
"57","BST1100269","1199","BASSETTS","8/9/2011 0:00:00","CR, TR, KW",2006,"0061 TR","NAD83 UTM zone 10",708357.9,4390237.64,"126","45","GRANITE",NA,"15","2","1","74","8","55","15","0","0","1","5","0","1","5","P","NA","NA","0","0.2","4","0","4","PLANTED AREA","15","60","1","20","80","0","80","40","125","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",708357.9,4390237.64,"TRUE","2008","2007","",2011,5,1,0,1,1
"58","BST1100270","1198","BASSETTS","8/9/2011 0:00:00","CR, TR, KW",2006,"0063 TR","NAD83 UTM zone 10",708556.74,4390241.12,"160","37","GRANITE",NA,"42","5","1","50","2","65","0.5","0","0","1","0","0","1","5",NA,"NA","NA","0","0.7","0","0","0",NA,"0.5","65","1","20","0","0","0","30","96","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",708556.74,4390241.12,"TRUE","2008","2007","",2011,5,1,0,1,1
