"Regen_Plot","Fire","Year.of.Fire","survey_years_post","SHRUB","dominant_shrub_ht_cm","X","Y","normal_annual_precip","tmax","tmin","tmean","elev","tpi100","tpi500","tpi2000","tpi5000","twi","slope_dem","aspect_dem","rad_winter","rad_winter_spring","rad_spring","rad_spring_summer","rad_summer"
"AMR1300192","AMERICAN RIVER",2008,5,12,15,-47286.0385291393,130450.062193165,1801.48731187577,13.7447837300551,4.74077115970206,9.24277719696411,1918.64957315478,-1.65143119833921,-6.51614224478629,12.4567525620615,117.584019353052,6.82871973288492,19.9673847970772,57.8437629275161,1714.21257510819,2793.1093814112,5517.18005222391,8361.72435934639,9513.77729098045
"AMR1300253","AMERICAN RIVER",2008,5,45,45,-49691.7678948307,131453.040145138,1742.40808726365,15.5063890572262,5.41990938153256,10.4631493012918,1643.01833874442,0.756275534746578,3.12575037285981,84.6064820797419,182.907361476194,6.73787622860179,22.1021708449936,320.047244474946,1004.02395580681,1933.31044842018,4557.98676550144,7604.78807359019,8914.14835488072
"AMR1300260","AMERICAN RIVER",2008,5,40,30,-48493.2939295951,131646.092909241,1764.77288063284,15.4583166886846,5.25154421261041,10.3549308135904,1646.36763964251,-1.74398821334829,0.885264729014209,28.3971379844807,110.67630158373,7.34334148391595,24.7401805676798,333.504475492318,1159.37395569403,2151.52277290722,4876.47383194453,7895.19475813339,9169.0295080767
"AMR1300264","AMERICAN RIVER",2008,5,20,40,-47493.6664923663,131857.294408052,1780.93106839697,14.6520176804561,4.97047820954032,9.81124806450566,1774.27760662223,-2.24204579922034,0.634311811885587,14.7269297275524,181.431483209084,8.93480715314521,16.4695228612233,321.490479468006,1998.0048308625,3090.04274520545,5764.9925764748,8574.53310797714,9707.13628918999
"AMR1300268","AMERICAN RIVER",2008,5,28,70,-47690.5153399278,132049.909996585,1769.92141572386,15.0393203773102,5.06718683544802,10.0532532780183,1713.28675246036,-0.485063412285788,9.5065710520563,40.8699585691799,154.03214590003,7.79015068755585,11.7151070974315,255.921935997734,3013.21441837767,4184.15634556524,6753.24723057248,9014.94243571205,9804.03454200765
"AMR1300269","AMERICAN RIVER",2008,5,15,20,-47489.5559420243,132053.341511245,1774.98775027007,14.6100050478823,4.95950491452557,9.78475511317495,1781.31587212253,0.683932900653358,16.4630721825495,70.5251271875234,210.951805605536,4.78519274302024,33.2574091385554,275.914734585797,2777.44710025881,3923.81465854612,6457.79923260422,8756.29686540882,9578.82734533891
"AMR1300270","AMERICAN RIVER",2008,5,45,40,-47291.6480433462,132053.928955172,1779.98796650605,14.3896868504135,4.88481437075173,9.63725039288114,1816.08609524921,0.212593611022337,2.23761249784325,69.8132029774981,235.686061212365,6.03074461553681,13.7170474641246,157.532538222047,3692.57900498022,4924.05740244525,7599.33600183138,9305.3689319009,9783.61692323832
"AMR1300271","AMERICAN RIVER",2008,5,70,50,-46891.6483330172,132053.192865983,1790.09619877852,14.1848728532072,4.74500572605166,9.46493897641387,1850.33292174259,-0.949393275301882,-23.1637773185433,47.4894790617232,252.043520536108,8.20284988510862,14.3178257184842,56.4396469880255,1962.93686358646,3125.64334357921,5934.97148036792,8613.23066743583,9576.94260958989
"AMR1300392","AMERICAN RIVER",2008,5,70,5,-56491.9798702333,135252.480298688,1762.36097060615,16.0899402316373,6.23738028903466,11.1636600789112,1551.75581828976,0.953974834214817,10.5145965927956,24.982442042376,77.9081855266986,5.46854764082779,19.3647396976839,209.678527757873,4618.11911280613,5768.9856622087,7902.57691376126,9303.43001497885,9628.632995219
"AMR1300408","AMERICAN RIVER",2008,5,52,40,-55290.0641110841,135446.81311779,1801.82614622912,15.5183947807242,5.98923986480114,10.7538172508275,1642.08241178399,-0.347447811935803,-5.37539504726782,35.5611306464066,83.6978152554071,6.19427913930047,18.6977388445888,249.408218909899,3700.85293829617,4865.8247115165,7230.76599559668,9099.50472390623,9673.06140826591
"ANT1200191","ANTELOPE",2007,5,45,110,-53699.5675893887,231710.038876943,648.892654879575,15.9483487065915,2.9984507644592,9.47339988030894,1635.98409548398,0.0628062132129456,4.51195302924592,13.6285482385979,20.7944517839014,NA,19.4234387694112,234.969952867274,3985.58756861235,5178.60344339328,7474.0400132236,9172.12205551043,9649.83837440968
"ANT1200192","ANTELOPE",2007,5,85,100,-53497.7636632806,231714.26166153,647.781123454797,15.7796030923111,2.94652671733937,9.36306503134612,1668.91540352021,0.498718065495059,12.1515610268485,10.8333523626456,33.8820547530523,NA,6.81308685845305,16.7356023659268,2016.61499847417,3220.41360496703,5910.46755731849,8640.13084048305,9752.40592588096
"ANT1200676","ANTELOPE",2007,5,35,75,-52386.0089026049,234905.992524009,651.170158684466,16.4136274239186,2.03726297759783,9.22544547658248,1550.81085550223,-0.019564414839411,-8.13294979962204,-66.1090144815715,-127.315495458402,NA,22.5496191501412,275.213774060232,2635.23431208285,3753.84715109187,6280.07999157867,8584.38109202237,9420.51643553831
"ANT1201769","ANTELOPE",2007,5,87,100,-52702.8353288146,238320.463389533,614.529284647054,16.5095433731908,0.957947638203501,8.7337452102454,1532.27232866297,0.830114936300197,14.6694749810809,-3.33003782476677,-89.098348000278,NA,12.6568845270069,280.549520788694,2594.27049573248,3741.1342294993,6354.77845260917,8790.20010420977,9681.60191272608
"ANT1201951","ANTELOPE",2007,5,80,100,-53098.4676013114,238911.715460363,615.775105635229,16.6527376134284,0.765445382422137,8.70909134354505,1510.01550541004,0.996850570576616,-0.389814808592306,-35.8524949720219,-114.189447320664,6.95925304795372,16.5190486373352,198.841611056732,4490.93066042933,5674.05421778476,7822.47033943724,9283.90356988021,9642.54593499843
"ANT1202011","ANTELOPE",2007,5,60,90,-53296.4058300387,239107.547311768,617.776815035972,16.6482092274916,0.734232427701967,8.69122044337434,1514.52518541451,0.988011447408838,-8.37807929806865,-48.9330416656981,-114.459192312494,5.90432504919626,24.337409997118,189.446612795504,5278.50512987613,6411.93303030426,8266.29503771896,9235.31682567956,9296.75737643478
"ANT1202137","ANTELOPE",2007,5,27,60,-52698.7549563894,239512.102114806,611.995120888916,16.4740813260603,0.589515703018229,8.53179857996348,1544.07294657801,-0.211977742508625,-7.63319371620787,-11.5349717211644,-62.472185605364,6.01911403658434,13.559782068112,168.545210152221,4219.32456360314,5406.02036695617,7678.71747037126,9296.45275704852,9728.25436239018
"ANT1202172","ANTELOPE",2007,5,2,4,-48986.0015110706,239705.993876981,606.462532506892,16.4531718468908,0.305472102136902,8.37932197924196,1537.20340155581,-0.612394807445316,-5.05355447158764,-29.8958467357854,-87.9720465451425,8.44494469570248,3.69416722589374,210.124400483229,3149.94195966081,4284.19583662523,6844.30027074977,9092.76024398958,9833.62307521953
"ANT1202174","ANTELOPE",2007,5,10,4,-48786.0089954552,239705.997611347,607.459393732154,16.3470547187362,0.332675153983935,8.33986506626142,1561.48326071944,0.180217268197488,7.38909466762188,-9.55603863461367,-69.7806973396179,5.73231807619886,12.2382747693964,268.935785685697,2876.7543362482,4039.59069893684,6612.46284281537,8908.37988004881,9720.32153933447
"ANT1202342","ANTELOPE",2007,5,65,100,-52701.7623538408,239109.901527358,612.480548346619,16.6143963010614,0.596162318058605,8.605279158485,1516.09392679512,1.09488091307892,-3.84445811198726,-28.4457585548492,-96.4049867412969,5.46092812647808,20.4755280302189,112.636971087035,3510.71592730373,4672.86236782538,7056.24632973573,8955.94591782393,9543.10821005827
"BAR1111266","BAR",2006,5,50,110,-268664.976285605,312407.316980723,1233.4529593839,NA,NA,NA,1317.53444340704,0.762806824865766,34.8565139696216,145.504951957582,231.537984470718,5.28047123070316,26.2083021697431,86.0351703729688,2572.17535447295,3674.08249910166,6168.20718046297,8448.92877763407,9271.22013643174
"BAR1111267","BAR",2006,5,15,40,-268443.041399453,312390.720533072,1212.4147701963,NA,NA,NA,1213.00720637964,0.841136488577177,13.3430650992676,103.421892154677,141.804850175557,5.78906454632644,28.5199346266868,53.4781523237738,1197.76273070355,2134.81692497461,4674.96401382053,7523.70062580241,8750.31001885564
"BAR1111316","BAR",2006,5,25,100,-269041.280043089,312207.625968645,1246.26510812796,NA,NA,NA,1442.64775651311,0.892103319148077,40.3355131781556,204.958257808587,357.793657659934,5.26607559457162,24.1470361415775,163.688002842132,5116.64184382671,6274.2593839683,8214.19052688218,9246.79015505775,9389.09742213584
"BAR1111317","BAR",2006,5,68,300,-268856.505379175,312207.079430346,1240.54604471466,NA,NA,NA,1389.11936852902,0.41394981892563,30.9713669836785,175.72723136918,309.072061348454,5.23352511321293,31.7978671316353,112.687082209722,3833.92888974263,4964.66584311824,7180.49061567076,8798.34987701239,9241.10106453099
"BAR1111418","BAR",2006,5,3,120,-269240.85941596,311807.98368052,1242.08103671599,NA,NA,NA,1378.91339714967,3.78084970846444,47.6542141392123,146.209767492246,321.237046034179,4.12678573822995,17.0852608945748,142.878840071575,4038.90965627796,5212.20753118074,7493.98826262895,9173.34244625865,9637.10925563909
"BAR1111479","BAR",2006,5,10,150,-266833.606711846,311611.011279985,1045.81905896827,NA,NA,NA,967.296019526945,1.35886754888974,43.2763333557178,113.955034957074,144.501693130281,4.53271725514073,20.9976496031167,121.185997430836,3804.88929310483,4958.19015912105,7243.55295655119,8794.78863059425,9416.88402056848
