"PlotID","planted_ABCO","planted_CADE27","planted_PIJE","planted_PIPO","planted_PILA","planted_PSME","planted_ABMA","planted_SEGI2","planted_PIMO3"
"E0045I","yes","yes","yes","yes","yes","no","no","no","no"
"E0046I","yes","yes","yes","yes","yes","no","no","no","no"
"E0047I","yes","yes","yes","yes","yes","no","no","no","no"
"E0048I","yes","yes","yes","yes","yes","no","no","no","no"
"E0049I","yes","yes","yes","yes","yes","no","no","no","no"
"E0050I","yes","yes","yes","yes","yes","no","no","no","no"
"E0051I","yes","yes","yes","yes","yes","no","no","no","no"
"E0052I","yes","yes","yes","yes","yes","no","no","no","no"
"E0053I","yes","yes","yes","yes","yes","no","no","no","no"
"E0054I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0055I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0059I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0060I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0061I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0062I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0063I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0064I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0065I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0066I",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0068C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0068T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0069C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0069T",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0072C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0072T","yes","no","yes","yes","no","no","no","no","no"
"E0078C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0078T","yes","no","yes","yes","no","no","no","no","no"
"E0087C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0087T","yes","no","yes","yes","no","no","no","no","no"
"E0090C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E0090T","yes","no","yes","yes","no","no","no","no","no"
"E2001I",NA,NA,NA,NA,NA,NA,NA,NA,NA
