"FIRE_YEAR","FIRE_NAME","VB_ID","NUM_ASSESS","NIFMID_LNK","AGENCY","ICS_CODE","EDIT_DATE"
"2013","SALMON RIVER CMPLX","2013SALMON_RIVER_CMPLX",1,"USF05052013005561","USF","KNF",20130110
"2013","SHIRLEY","2013SHIRLEY",1,"USF05132013000035","USF","SQF",20150420
"2013","SILVER","2013SILVER",1,"CDF05122013000081","CDF","RRU",20130110
"2013","SUMMIT","2013SUMMIT",1,"CDF05122013000000","CDF","RRU",20150417
"2013","SWEDES","2013SWEDES",2,"CDF052013000000","CDF","BTU",20150530
"2013","WHITE","2013WHITE",1,"USF05072013000000","USF","LPF",20150417
"2013","WINDY PEAK","2013WINDY_PEAK",2,"NPS05002013000113","NPS","KNP",20150420
"2014","BALD","2014BALD",1,"USF05062014000000","USF","LNF",20141105
"2014","BEAVER","2014BEAVER",2,"USF05052014000000","USF","KNF",20141105
"2014","CAMPBELL","2014CAMPBELL",1,"USF05062014000000","USF","LNF",0
"2014","COFFEE COMPLEX","2014COFFEE_CMPLX",2,"USF05142014000000","USF","SHF",0
"2014","COLBY","2014COLBY",1,"USF05012014000000","USF","ANF",0
"2014","COURTNEY FIRE","2014COURTNEY",1,"CDF052014000000","CDF","MMU",0
"2014","DARK HOLE","2014DARK_HOLE",1,"NPS05002014000057","NPS","YNP",20150918
"2014","DAY","2014DAY",2,"CDF052014000000","CDF","LMU",0
"2014","EILER","2014EILER",2,"USF05062014000000","USF","LNF",20141105
"2014","EL PORTAL","2014EL_PORTAL",2,"NPS05002014000000","NPS","YNP",20141105
"2014","FRENCH","2014FRENCH",2,"USF05152014000000","USF","SNF",20141105
"2014","GULCH","2014GULCH_CDF",1,"CDF052014000000","CDF","SHU",20151021
"2014","GULCH","2014GULCH_MDF",1,"USF05092014000000","USF","MDF",0
"2014","HAPPY CAMP CMPLX","2014HAPPY_CAMP_CMPLX",2,"USF05052014000000","USF","KNF",20141105
"2014","KING","2014KING",2,"CDF052014000000","CDF","AEU",20141105
"2014","LITTLE DEER","2014LITTLE_DEER",2,"USF05052014000000","USF","KNF",0
"2014","LOG","2014LOG",2,"USF05052014000000","USF","KNF",20141105
"2014","MEADOW","2014MEADOW",1,"NPS05002014000101","NPS","YNP",20150921
"2014","NICOLLS","2014NICOLLS",2,"USF05132014000000","USF","SQF",0
"2014","SHIRLEY","2014SHIRLEY",1,"USF05132014000000","USF","SQF",20150921
"2014","WAY","2014WAY",1,"CCO052014000000","CCO","KRN",20150921
"2014","WHITES","2014WHITES",2,"USF05052014000000","USF","KNF",20141105
"2015","BARKER","2015BARKER",1,"USF05142015000000","USF","SHF",0
"2015","BEAR","2015BEAR",1,"USF05102015000000","USF","SRF",0
"2015","BLUE","2015BLUE",1,"USF05142015000000","USF","SHF",0
"2015","BUCK","2015BUCK",1,"USF05102015000000","USF","SRF",0
"2015","BUTTE","2015BUTTE",1,"CDF052015000000","CDF","AEU",0
"2015","CABIN","2015CABIN",1,"USF05132015000000","USF","SQF",0
"2015","CASTLE","2015CASTLE",1,"USF05142015000000","USF","SHF",0
"2015","COON","2015COON",1,"USF05102015000000","USF","SRF",0
"2015","FROG","2015FROG",1,"USF05092015000000","USF","MDF",20150917
"2015","GOBBLER","2015GOBBLER",1,"USF05102015000000","USF","SRF",0
"2015","JOHNSON","2015JOHNSON",1,"USF05102015000000","USF","SRF",0
"2015","LAKE","2015LAKE",1,"USF05122015000000","USF","BDF",0
"2015","LASSIC","2015LASSIC",1,"USF05102015000000","USF","SRF",0
"2015","NICKOWITZ","2015NICKOWITZ",1,"USF05102015000000","USF","SRF",0
"2015","PATTISON","2015PATTISON",1,"USF05142015000000","USF","SHF",20150924
"2015","PEAK","2015PEAK_SHF",1,"USF05142015000000","USF","SHF",0
"2015","PEAK","2015PEAK_SRF",1,"USF05102015000000","USF","SRF",0
"2015","PICKETT","2015PICKETT",1,"USF05102015000000","USF","SRF",0
"2015","PINE","2015PINE",1,"USF05102015000000","USF","SRF",0
"2015","RAIL","2015RAIL",1,"USF05142015000000","USF","SHF",0
"2015","RIVER COMPLEX","2015RIVER_CMPLX",1,"USF05142015000000","USF","SHF",0
"2015","ROUGH","2015ROUGH",1,"USF05152015000000","USF","SNF",0
"2015","ROUND","2015ROUND",1,"USF05042015000000","USF","INF",0
"2015","SADDLE","2015SADDLE",1,"USF05142015000000","USF","SHF",20150917
"2015","SHIELL","2015SHIELL",1,"USF05142015000000","USF","SHF",20150917
"2015","TASSAJARA","2015TASSAJARA",1,"CDF052015000000","CDF","BEU",0
"2015","VALLEY","2015VALLEY",1,"CDF052015000000","CDF","SNU",0
"2015","WALKER","2015WALKER",1,"USF05042015000000","USF","INF",0
"2015","WASHINGTON","2015WASHINGTON",1,"USF05212015000000","USF","TOI",20150917
"2015","WILLOW","2015WILLOW",1,"USF05152015000000","USF","SNF",0
"2014","SODA","2014SODA",2,"USF05132014000000","USF","SQF",0
