"","V1","V2"
"17","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) * fsplanted + (1 | Fire) + (1 | Fire:PairID)","489.060872181758"
"18","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) * fsplanted + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","487.986656049718"
"19","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) * fsplanted + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","489.084332721428"
"20","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) * fsplanted + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","488.346070596524"
"21","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) * fsplanted + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","488.897562166645"
"22","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) * fsplanted + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","488.658508808002"
"23","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) * fsplanted + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","488.946761927667"
"24","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released + scale(tmin) + scale(rad_summer) * fsplanted + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","489.048384674276"
"25","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released + scale(tmin) * fsplanted + scale(rad_summer) * fsplanted + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","490.986577985555"
"26","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released + scale(tmin) * fsplanted + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","488.992435329278"
"27","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released * fsplanted + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","487.163259577149"
"28","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year * fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","487.087375695017"
"29","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) * fsplanted + facts.planting.first.year + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","493.623590390586"
"30","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) * fsplanted + scale(Shrubs) + facts.planting.first.year + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","493.193306489154"
"31","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) * fsplanted + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","493.370422179949"
"32","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) * fsplanted + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","492.969693702279"
"33","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) * fsplanted + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","493.391169116759"
"34","ln.dens.planted ~ scale(tpi5000) + scale(elev) * fsplanted + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","492.098019920838"
"35","ln.dens.planted ~ scale(tpi5000) * fsplanted + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","493.44170112003"
"36","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(DuffDepth) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","493.319637723965"
"37","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitterDepth) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","497.585024000091"
"38","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitterDepth) + scale(DuffDepth) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","492.503317039432"
"39","ln.dens.planted ~ scale(tpi5000) + scale(elev) + scale(slope_dem) + scale(Forbs) + scale(Grasses) + scale(ShrubHt) + scale(Shrubs) + facts.planting.first.year + fsplanted + facts.released + scale(tmin) + scale(rad_summer) + scale(normal_annual_precip) + scale(bcm_snowpack) + scale(twi) + scale(log10SeedWallConifer) + scale(LitDuff) + scale(CWD_sound) + scale(LiveOverstory) + (1 | Fire) + (1 | Fire:PairID)","491.738521178365"
