"","V1","V2"
"24","Seedling Density = Normal Annual Precipitation + %Forb + %Grasses + %Shrubs * Year Planted * Planting + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","487.956113013661"
"25","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + %Forb + %Grasses + %Shrubs * Year Planted * Planting + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","489.874617252517"
"26","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs * Year Planted * Planting + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","491.850737582481"
"27","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs * Year Planted * Planting + %Overstory + Ave. Shrub Ht * Planting + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","495.835747408542"
"28","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs * Year Planted * Planting + %Overstory + Ave. Shrub Ht * Year Planted * Planting + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","498.304587241222"
"29","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs * Year Planted * Planting + %Overstory * Planting + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","495.760126369624"
"30","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs * Year Planted * Planting + %Overstory * Year Planted * Planting + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","495.646912680849"
"31","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses + %Shrubs * Year Planted * Planting + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","493.838080377297"
"32","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses * Planting + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","500.779299530034"
"33","Seedling Density = Mean Annual Temp. + Normal Annual Precipitation + Summer Solar Insolation + %Forb + %Grasses * Year Planted * Planting + %Shrubs + %Overstory + Ave. Shrub Ht + Seed Source + Topographic Position Index 2000 + Total Water Index + Elevation + Litter + Duff Depth + Coarse Woody Debris + (1 | Fire) + (1 | Fire:PairID)","501.765572668785"
