Model,AIC,dAIC
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. * fsplanted + Summer Solar Insolation * fsplanted + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,490.99,36.99
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Min. Annual Temp. * fsplanted + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,488.99,35.00
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Released * Planting + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,487.16,33.17
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted * Planting + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,487.09,33.09
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs * Planting + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,493.62,39.63
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses + Ave. Shrub Ht * Planting + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,493.19,39.20
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb + %Grasses * Planting + Ave. Shrub Ht + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,493.37,39.38
Seedling Density = Topographic Position Index 5000 + Elevation + Slope + %Forb * Planting + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,492.97,38.97
Seedling Density = Topographic Position Index 5000 + Elevation + Slope * Planting + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,493.39,39.40
Seedling Density = Topographic Position Index 5000 + Elevation * Planting + Slope + %Forb + %Grasses + Ave. Shrub Ht + %Shrubs + Year Planted + Released + Min. Annual Temp. + Summer Solar Insolation + Normal Annual Precipitation + Snowpack + Total Water Index + Seed Source + Litter + Duff Depth + Coarse Woody Debris + %Overstory,492.10,38.10
