"fire.dist2","salv.cat2","site.prepped2","released2","thinned2","nplots","mgmt.factorial"
"2004STRAYLOR - Lassen NF","salv: both","prp: no","rel: YES","thn: YES",143,"2004STRAYLOR - Lassen NF, salv: both, prp: no, rel: YES, thn: YES"
"2004STRAYLOR - Lassen NF","salv: planted","prp: no","rel: YES","thn: YES",129,"2004STRAYLOR - Lassen NF, salv: planted, prp: no, rel: YES, thn: YES"
"2006BASSETTS - Tahoe NF","salv: neither","prp: no","rel: YES","thn: YES",39,"2006BASSETTS - Tahoe NF, salv: neither, prp: no, rel: YES, thn: YES"
"2006BASSETTS - Tahoe NF","salv: neither","prp: no","rel: YES","thn: no",29,"2006BASSETTS - Tahoe NF, salv: neither, prp: no, rel: YES, thn: no"
"2006BOULDER_CMPLX - Plumas NF","salv: planted","prp: no","rel: no","thn: no",24,"2006BOULDER_CMPLX - Plumas NF, salv: planted, prp: no, rel: no, thn: no"
"2007ANTELOPE_CMPLX - Plumas NF","salv: planted","prp: no","rel: no","thn: no",226,"2007ANTELOPE_CMPLX - Plumas NF, salv: planted, prp: no, rel: no, thn: no"
"2007ANTELOPE_CMPLX - Plumas NF","salv: neither","prp: no","rel: no","thn: no",183,"2007ANTELOPE_CMPLX - Plumas NF, salv: neither, prp: no, rel: no, thn: no"
"2007ANTELOPE_CMPLX - Plumas NF","salv: planted","prp: no","rel: no","thn: YES",48,"2007ANTELOPE_CMPLX - Plumas NF, salv: planted, prp: no, rel: no, thn: YES"
"2007ANTELOPE_CMPLX - Plumas NF","salv: both","prp: no","rel: no","thn: no",42,"2007ANTELOPE_CMPLX - Plumas NF, salv: both, prp: no, rel: no, thn: no"
"2007ANTELOPE_CMPLX - Plumas NF","salv: neither","prp: no","rel: YES","thn: no",28,"2007ANTELOPE_CMPLX - Plumas NF, salv: neither, prp: no, rel: YES, thn: no"
"2007ANTELOPE_CMPLX - Plumas NF","salv: neither","prp: no","rel: no","thn: YES",27,"2007ANTELOPE_CMPLX - Plumas NF, salv: neither, prp: no, rel: no, thn: YES"
"2007MOONLIGHT - Plumas NF","salv: planted","prp: no","rel: no","thn: no",403,"2007MOONLIGHT - Plumas NF, salv: planted, prp: no, rel: no, thn: no"
"2007MOONLIGHT - Plumas NF","salv: neither","prp: no","rel: no","thn: no",234,"2007MOONLIGHT - Plumas NF, salv: neither, prp: no, rel: no, thn: no"
"2007MOONLIGHT - Plumas NF","salv: both","prp: no","rel: no","thn: no",189,"2007MOONLIGHT - Plumas NF, salv: both, prp: no, rel: no, thn: no"
"2007MOONLIGHT - Plumas NF","salv: planted","prp: no","rel: YES","thn: no",157,"2007MOONLIGHT - Plumas NF, salv: planted, prp: no, rel: YES, thn: no"
"2007MOONLIGHT - Plumas NF","salv: neither","prp: no","rel: YES","thn: no",32,"2007MOONLIGHT - Plumas NF, salv: neither, prp: no, rel: YES, thn: no"
"2007MOONLIGHT - Plumas NF","salv: both","prp: YES","rel: no","thn: no",27,"2007MOONLIGHT - Plumas NF, salv: both, prp: YES, rel: no, thn: no"
"2007MOONLIGHT - Plumas NF","salv: both","prp: no","rel: YES","thn: no",23,"2007MOONLIGHT - Plumas NF, salv: both, prp: no, rel: YES, thn: no"
"2008COLD - Plumas NF","salv: planted","prp: no","rel: no","thn: no",87,"2008COLD - Plumas NF, salv: planted, prp: no, rel: no, thn: no"
"2008COLD - Plumas NF","salv: neither","prp: no","rel: no","thn: no",65,"2008COLD - Plumas NF, salv: neither, prp: no, rel: no, thn: no"
