"","type","tier","id","lat","long","year","cat","seed","geom"
"63","T",1,"D1328T","39.553269","-120.251375","3",1,"F",c(-120.251374512111, 39.5532688240885)
"64","T",1,"D1329T","39.553732","-120.250436","3",1,"F",c(-120.250435739505, 39.5537318473556)
"65","T",1,"D1331T","39.554253","-120.249629","3",1,"F",c(-120.249629268417, 39.554252899563)
"66","T",1,"D1332T","39.553805","-120.248878","3",1,"F",c(-120.24887817962, 39.553804765834)
"67","T",1,"D1333T","39.555703","-120.235800","3",4,"N",c(-120.235799823705, 39.5557031761169)
"68","T",1,"D1338T","39.540917","-120.222888","3",4,"N",c(-120.222888028152, 39.5409166246107)
"69","T",1,"D1339T","39.539338","-120.221958","3",4,"N",c(-120.22195751844, 39.5393375961751)
"70","T",1,"D1341T","39.557394","-120.196659","3",3,"F",c(-120.196658507218, 39.5573942541082)
"71","T",1,"D1343T","39.559833","-120.190626","3",3,"N",c(-120.190625552239, 39.5598334818306)
"72","T",1,"D1345T","39.560664","-120.190233","3",3,"N",c(-120.190232598938, 39.5606638192947)
"73","I",1,"D1000I","39.619195","-120.204728","2",2,"F",c(-120.204727566824, 39.6191945184862)
"74","I",1,"D1001I","39.620545","-120.204731","2",2,"F",c(-120.204731342088, 39.6205445043995)
"75","I",1,"D1002I","39.609753","-120.199457","2",2,"F",c(-120.19945699514, 39.6097532777828)
"76","I",1,"D1003I","39.611103","-120.199461","2",2,"F",c(-120.199460672739, 39.6111032567508)
"77","I",1,"D1004I","39.612453","-120.199464","2",2,"F",c(-120.199464350473, 39.6124532367322)
"78","I",1,"D1005I","39.613803","-120.199468","2",2,"F",c(-120.199468028342, 39.6138032177278)
"79","I",1,"D1006I","39.615153","-120.199472","2",2,"F",c(-120.199471706348, 39.6151531997384)
"80","I",1,"D1007I","39.609756","-120.197709","2",2,"F",c(-120.19770894529, 39.6097561054096)
"81","I",1,"D1008I","39.613806","-120.197720","2",2,"F",c(-120.197719881797, 39.6138060455173)
"82","I",1,"D1009I","39.615156","-120.197724","2",2,"F",c(-120.197723527568, 39.6151560275822)
"83","I",1,"D1010I","39.616506","-120.197727","2",2,"F",c(-120.197727173474, 39.616506010663)
"84","I",1,"D1011I","39.617856","-120.197731","2",2,"F",c(-120.197730819514, 39.6178559947604)
"85","I",1,"D1012I","39.619206","-120.197734","2",2,"F",c(-120.197734465689, 39.6192059798754)
"86","I",1,"D1013I","39.620556","-120.197738","2",2,"F",c(-120.197738111998, 39.6205559660088)
"87","I",1,"D1014I","39.609759","-120.195961","2",2,"F",c(-120.195960895305, 39.6097589081458)
"88","I",1,"D1015I","39.613809","-120.195972","2",2,"F",c(-120.195971735117, 39.6138088484149)
"89","I",1,"D1016I","39.615159","-120.195975","2",2,"F",c(-120.195975348654, 39.6151588305336)
"90","I",1,"D1017I","39.616509","-120.195979","2",2,"F",c(-120.195978962325, 39.6165088136681)
"91","I",1,"D1018I","39.617859","-120.195983","2",2,"F",c(-120.195982576129, 39.6178587978195)
"92","I",1,"D1019I","39.619209","-120.195986","2",2,"F",c(-120.195986190066, 39.6192087829882)
"93","I",1,"D1020I","39.620559","-120.195990","2",2,"F",c(-120.195989804136, 39.6205587691754)
"94","I",1,"D1021I","39.609762","-120.194213","2",2,"F",c(-120.194212845187, 39.6097616859916)
"95","I",1,"D1022I","39.611112","-120.194216","2",2,"F",c(-120.194216426094, 39.6111116651209)
"96","I",1,"D1023I","39.612462","-120.194220","2",2,"F",c(-120.194220007133, 39.6124616452636)
"97","I",1,"D1024I","39.613812","-120.194224","2",2,"F",c(-120.194223588304, 39.6138116264206)
"98","I",1,"D1025I","39.615162","-120.194227","2",2,"F",c(-120.194227169607, 39.6151616085926)
"99","I",1,"D1026I","39.616512","-120.194231","2",2,"F",c(-120.194230751043, 39.6165115917804)
"100","I",1,"D1027I","39.617862","-120.194234","2",2,"F",c(-120.19423433261, 39.6178615759851)
"101","I",1,"D1028I","39.619212","-120.194238","2",2,"F",c(-120.19423791431, 39.6192115612072)
"102","I",1,"D1029I","39.620562","-120.194241","2",2,"F",c(-120.194241496141, 39.6205615474477)
"103","I",1,"D1030I","39.609764","-120.192465","2",2,"F",c(-120.192464794937, 39.6097644389468)
