"","type","tier","id","lat","long","year","cat","seed","geom"
"273","I",1,"D1238I","39.605715","-120.192454","2",2,"F",c(-120.192454149692, 39.6057145074728)
"274","I",1,"D1239I","39.607064","-120.192458","2",2,"F",c(-120.192457697976, 39.6070644836195)
"275","I",1,"D1240I","39.608414","-120.192461","2",2,"F",c(-120.192461246391, 39.6084144607773)
"276","I",1,"D1241I","39.605717","-120.190706","2",2,"F",c(-120.190706195995, 39.6057172353806)
"277","I",1,"D1242I","39.607067","-120.190710","2",2,"F",c(-120.190709712052, 39.6070672115797)
"278","I",1,"D1243I","39.608417","-120.190713","2",2,"F",c(-120.190713228239, 39.6084171887897)
"279","I",1,"D1244I","39.604370","-120.188955","2",2,"F",c(-120.188954758467, 39.6043699631585)
"280","I",1,"D1245I","39.605720","-120.188958","2",2,"F",c(-120.188958242169, 39.6057199383993)
"281","I",1,"D1246I","39.607070","-120.188962","2",2,"F",c(-120.188961725999, 39.6070699146503)
"282","I",1,"D1247I","39.608420","-120.188965","2",2,"F",c(-120.188965209958, 39.6084198919122)
"283","I",1,"D1248I","39.604373","-120.187207","2",2,"F",c(-120.187206836738, 39.6043726412367)
"284","I",1,"D1249I","39.605723","-120.187210","2",2,"F",c(-120.187210288214, 39.605722616529)
"285","I",1,"D1250I","39.607073","-120.187214","2",2,"F",c(-120.187213739817, 39.6070725928313)
"286","I",1,"D1251I","39.608423","-120.187217","2",2,"F",c(-120.187217191548, 39.6084225701446)
"287","I",1,"D1252I","39.603025","-120.185455","2",2,"F",c(-120.185455495757, 39.6030253200927)
"288","I",1,"D1253I","39.604375","-120.185459","2",2,"F",c(-120.185458914882, 39.6043752944264)
"289","I",1,"D1254I","39.605725","-120.185462","2",2,"F",c(-120.185462334132, 39.6057252697696)
"290","I",1,"D1255I","39.607075","-120.185466","2",2,"F",c(-120.185465753508, 39.6070752461228)
"291","I",1,"D1256I","39.608425","-120.185469","2",2,"F",c(-120.185469173011, 39.608425223487)
"292","I",1,"D1257I","39.603028","-120.183708","2",2,"F",c(-120.183707606, 39.6030279483433)
"293","I",1,"D1258I","39.607078","-120.183718","2",2,"F",c(-120.183717767073, 39.6070778745247)
"294","I",1,"D1259I","39.600331","-120.181953","2",2,"F",c(-120.181953007138, 39.6003306058624)
"295","I",1,"D1260I","39.601681","-120.181956","2",2,"F",c(-120.181956361566, 39.6016805782803)
"296","I",1,"D1261I","39.603031","-120.181960","2",2,"F",c(-120.181959716117, 39.6030305517059)
"297","I",1,"D1262I","39.607080","-120.181970","2",2,"F",c(-120.181969780513, 39.6070804780372)
"298","I",1,"D1263I","39.596283","-120.180195","2",2,"F",c(-120.180195215695, 39.596283272874)
"299","I",1,"D1264I","39.598983","-120.180202","2",2,"F",c(-120.180201859494, 39.5989832127775)
"300","I",1,"D1265I","39.600333","-120.180205","2",2,"F",c(-120.180205181577, 39.600333184238)
"301","I",1,"D1266I","39.601683","-120.180209","2",2,"F",c(-120.180208503782, 39.6016831567053)
"302","I",1,"D1267I","39.598986","-120.178454","2",2,"F",c(-120.178454066032, 39.5989857662169)
"303","I",1,"D1268I","39.600336","-120.178457","2",2,"F",c(-120.178457355894, 39.6003357377263)
"304","I",1,"D1269I","39.601686","-120.178461","2",2,"F",c(-120.178460645877, 39.6016857102427)
"305","I",1,"D1270I","39.598988","-120.176706","2",2,"F",c(-120.176706272448, 39.5989882947696)
"306","I",1,"D1271I","39.600338","-120.176710","2",2,"F",c(-120.176709530089, 39.6003382663276)
"307","I",1,"D1272I","39.601688","-120.176713","2",2,"F",c(-120.17671278785, 39.6016882388924)
"308","I",1,"D1273I","39.594990","-120.136499","2",3,"F",c(-120.13649944017, 39.5949896711591)
"309","I",1,"D1274I","39.593644","-120.133002","2",3,"F",c(-120.133001589363, 39.5936435399988)
"310","I",1,"D1275I","39.594994","-120.133004","2",3,"F",c(-120.133004041115, 39.5949935085945)
"311","I",1,"D1277I","39.593645","-120.131254","2",3,"F",c(-120.131253921916, 39.5936454213524)
"312","I",1,"D1278I","39.594995","-120.131256","2",3,"F",c(-120.131256341451, 39.5949953899842)
"313","I",1,"D1279I","39.596345","-120.131259","2",3,"F",c(-120.131258761076, 39.5963453596196)
"314","I",1,"D1282I","39.593647","-120.129506","2",3,"F",c(-120.129506254379, 39.5936472778213)
"315","I",1,"D1283I","39.594997","-120.129509","2",3,"F",c(-120.129508641698, 39.5949972464886)
"316","I",1,"D1288I","39.600401","-120.126023","3",3,"F",c(-120.12602253433, 39.600400769835)
"317","I",1,"D1289I","39.601751","-120.126025","3",3,"F",c(-120.126024857644, 39.6017507435988)
"318","I",1,"D1293I","39.600403","-120.124275","3",3,"F",c(-120.124274705438, 39.6004025518202)
"319","I",1,"D1298I","39.559644","-120.281423","3",4,"F",c(-120.281423179565, 39.5596439001903)
"320","I",1,"D1299I","39.558298","-120.279671","3",4,"F",c(-120.279671176082, 39.5582979567698)
"321","I",1,"D1300I","39.559648","-120.279676","3",4,"F",c(-120.279676329049, 39.5596478948312)
"322","I",1,"D1301I","39.558302","-120.277924","3",4,"F",c(-120.277924357561, 39.558301926462)
"323","I",1,"D1302I","39.559652","-120.277929","3",4,"F",c(-120.277929478343, 39.5596518645994)
"324","I",1,"D1303I","39.556956","-120.276172","3",4,"F",c(-120.276172450442, 39.5569559340502)
"325","I",1,"D1304I","39.558306","-120.276178","3",4,"F",c(-120.276177538851, 39.5583058712819)
"326","I",1,"D1305I","39.559656","-120.276183","3",4,"F",c(-120.276182627448, 39.5596558094949)
"327","I",1,"D1306I","39.556960","-120.274426","3",4,"F",c(-120.274425663729, 39.5569598539229)
"328","I",1,"D1307I","39.558310","-120.274431","3",4,"F",c(-120.274430719954, 39.5583097912297)
"329","I",1,"D1308I","39.559660","-120.274436","3",4,"F",c(-120.274435776366, 39.5596597295177)
"330","I",1,"D1309I","39.559664","-120.272689","3",4,"F",c(-120.272688925097, 39.5596636246679)
"331","I",1,"D1310I","39.561014","-120.272694","3",4,"F",c(-120.272693949509, 39.5610135640126)
"332","I",1,"D1311I","39.559667","-120.270942","3",4,"F",c(-120.270942073644, 39.5596674949454)
"333","I",1,"D1312I","39.558321","-120.269190","3",4,"F",c(-120.269190262149, 39.5583214018399)
"334","I",1,"D1313I","39.559671","-120.269195","3",4,"F",c(-120.269195222006, 39.5596713403503)
"335","I",1,"D1314I","39.570479","-120.265741","4",1,"F",c(-120.265740688575, 39.5704785012171)
"336","I",1,"D1315I","39.571828","-120.265746","4",1,"F",c(-120.265745585685, 39.5718284487418)
"337","I",1,"D1316I","39.571832","-120.263998","4",1,"F",c(-120.263998443785, 39.5718322201788)
"338","I",1,"D1327I","39.552959","-120.251704","3",1,"F",c(-120.251703507448, 39.5529587401022)
"339","I",1,"D1330I","39.552962","-120.249957","3",1,"F",c(-120.249956814779, 39.5529623115653)
"340","I",1,"D1334I","39.536811","-120.225453","3",4,"F",c(-120.225453256663, 39.5368105414083)
"341","I",1,"D1335I","39.536814","-120.223707","3",4,"F",c(-120.223706947645, 39.5368137390812)
"342","I",1,"D1336I","39.538164","-120.223711","3",4,"F",c(-120.22371106826, 39.5381636637349)
"343","I",1,"D1337I","39.539514","-120.223715","3",4,"F",c(-120.223715189026, 39.5395135893577)
"344","I",1,"D1340I","39.558458","-120.197571","3",3,"F",c(-120.197570520844, 39.558457645405)
"345","I",1,"D1342I","39.557111","-120.195820","3",3,"F",c(-120.19582008679, 39.5571105059083)
"346","I",1,"D1344I","39.562519","-120.190594","3",3,"F",c(-120.19059375058, 39.5625185258945)
"347","I",1,"D1346I","39.563871","-120.188850","3",3,"F",c(-120.188850307111, 39.5638711715881)
"348","I",1,"D1347I","39.565221","-120.188854","3",3,"F",c(-120.188853786963, 39.5652211169055)
"349","I",1,"D1348I","39.565224","-120.187107","3",3,"F",c(-120.187106799263, 39.5652237934954)
"350","I",1,"D1349I","39.566574","-120.187110","3",3,"F",c(-120.187110247052, 39.5665737398496)
"351","C",1,"D1052C","39.630350","-120.141258","3",1,"N",c(-120.141258382337, 39.6303495983909)
"352","C",1,"D1053C","39.630315","-120.140564","3",1,"N",c(-120.140564296669, 39.6303151763036)
"353","C",1,"D1055C","39.630857","-120.137877","3",1,"N",c(-120.137877071358, 39.63085678623)
"354","C",1,"D1059C","39.631293","-120.135001","3",1,"N",c(-120.135001450037, 39.6312925501486)
"355","C",1,"D1060C","39.617298","-120.134504","2",3,"N",c(-120.134503795713, 39.6172984443328)
"356","C",1,"D1061C","39.631081","-120.134636","3",1,"N",c(-120.134636242872, 39.6310809827579)
"357","C",1,"D1062C","39.614211","-120.132399","2",3,"N",c(-120.132399076605, 39.6142111772868)
"358","C",1,"D1063C","39.623983","-120.133953","2",3,"N",c(-120.133953031273, 39.6239830353806)
"359","C",1,"D1064C","39.630082","-120.132092","3",1,"F",c(-120.132091721576, 39.6300819403983)
"360","C",1,"D1065C","39.617817","-120.132092","2",3,"F",c(-120.132091543511, 39.6178170611024)
"361","C",1,"D1066C","39.617996","-120.131691","2",3,"F",c(-120.131690524473, 39.6179961631488)
"362","C",1,"D1067C","39.619127","-120.131125","2",3,"N",c(-120.131125413668, 39.6191272146798)
"363","C",1,"D1068C","39.614356","-120.130976","2",3,"N",c(-120.130975898871, 39.6143557418157)
"364","C",1,"D1069C","39.615232","-120.130712","2",3,"N",c(-120.130711712928, 39.6152322116924)
"365","C",1,"D1070C","39.616449","-120.129756","2",3,"N",c(-120.129756409263, 39.6164489904165)
"366","C",1,"D1071C","39.616309","-120.129902","2",3,"N",c(-120.129902087669, 39.6163088079929)
"367","C",1,"D1089C","39.608304","-120.124301","2",3,"N",c(-120.124300515138, 39.6083039883343)
"368","C",1,"D1090C","39.620749","-120.123116","2",3,"N",c(-120.123116392723, 39.6207486754329)
"369","C",1,"D1095C","39.619339","-120.121409","2",3,"F",c(-120.121408704117, 39.6193394589396)
"370","C",1,"D1096C","39.618470","-120.121183","2",3,"F",c(-120.121182595649, 39.6184703014726)
"371","C",1,"D1097C","39.617302","-120.120580","2",3,"F",c(-120.120580020839, 39.6173023831853)
"372","C",1,"D1100C","39.616796","-120.119631","2",3,"F",c(-120.119630596799, 39.6167962812338)
"373","C",1,"D1102C","39.616433","-120.118568","2",3,"N",c(-120.118567981541, 39.6164333922789)
"374","C",1,"D1103C","39.576388","-120.283466","4",1,"N",c(-120.283466089319, 39.5763883761295)
"375","C",1,"D1127C","39.572978","-120.262711","4",1,"F",c(-120.262710542124, 39.5729775042846)
"376","C",1,"D1128C","39.573142","-120.262623","4",1,"F",c(-120.262622781144, 39.5731418832458)
"377","C",1,"D1133C","39.574277","-120.261146","4",1,"F",c(-120.261146343834, 39.5742770429805)
"378","C",1,"D1140C","39.575162","-120.259680","4",1,"F",c(-120.259679907741, 39.5751619173381)
"379","C",1,"D1141C","39.575710","-120.258756","4",1,"F",c(-120.258756409164, 39.5757098194153)
"380","C",1,"D1142C","39.590010","-120.258484","3",3,"N",c(-120.258483558255, 39.5900100925303)
"381","C",1,"D1149C","39.574788","-120.255055","3",3,"F",c(-120.255055431381, 39.5747881059696)
"382","C",1,"D1153C","39.598407","-120.252253","3",3,"N",c(-120.252253084958, 39.5984068668017)
"383","C",1,"D1174C","39.577280","-120.232944","3",4,"N",c(-120.232944374279, 39.5772795408017)
"384","C",1,"D1178C","39.578331","-120.231683","3",4,"N",c(-120.231683211466, 39.5783313789383)
"385","C",1,"D1180C","39.577933","-120.229719","3",4,"N",c(-120.229718804775, 39.5779329541601)
"386","C",1,"D1183C","39.577847","-120.229514","3",4,"N",c(-120.229513813577, 39.577847463939)
"387","C",1,"D1184C","39.579027","-120.227580","3",4,"F",c(-120.227580245677, 39.5790273002093)
"388","C",1,"D1187C","39.579047","-120.226883","3",4,"F",c(-120.226882534635, 39.5790467623023)
"389","C",1,"D1276C","39.598903","-120.131674","2",3,"N",c(-120.131673906091, 39.5989031569896)
"390","C",1,"D1280C","39.597387","-120.129083","2",3,"F",c(-120.129082929583, 39.5973866064999)
"391","C",1,"D1281C","39.596373","-120.128645","2",3,"F",c(-120.128644604726, 39.5963734097317)
"392","C",1,"D1284C","39.595572","-120.128163","2",3,"F",c(-120.12816348125, 39.5955715566573)
"393","C",1,"D1285C","39.595057","-120.127973","2",3,"F",c(-120.127972602715, 39.5950569184235)
"394","C",1,"D1286C","39.593237","-120.126956","2",3,"N",c(-120.126955593384, 39.5932365781684)
"395","C",1,"D1287C","39.594136","-120.126956","2",3,"F",c(-120.126955530843, 39.5941364705854)
"396","C",1,"D1290C","39.599419","-120.125778","3",3,"F",c(-120.125777982328, 39.5994187782044)
"397","C",1,"D1291C","39.606263","-120.125796","3",3,"N",c(-120.125796086316, 39.6062625366019)
"398","C",1,"D1292C","39.599452","-120.124613","3",3,"F",c(-120.124613285783, 39.5994517466498)
"399","C",1,"D1294C","39.604307","-120.123193","3",3,"N",c(-120.123193472217, 39.6043068213854)
"400","C",1,"D1295C","39.599498","-120.122983","3",3,"F",c(-120.122982708858, 39.5994978839083)
"401","C",1,"D1296C","39.601295","-120.121873","3",3,"N",c(-120.121873232001, 39.6012946119339)
"402","C",1,"D1297C","39.600575","-120.121849","3",3,"F",c(-120.121848627376, 39.600575433347)
"403","C",1,"D1317C","39.572262","-120.262736","4",1,"F",c(-120.262735844023, 39.5722617577941)
"404","C",1,"D1318C","39.553421","-120.260582","3",1,"F",c(-120.26058182255, 39.5534208584099)
"405","C",1,"D1319C","39.550987","-120.260016","3",1,"F",c(-120.260016426778, 39.5509873874491)
"406","C",1,"D1320C","39.550838","-120.259599","3",1,"N",c(-120.259598843613, 39.5508380547794)
"407","C",1,"D1321C","39.553895","-120.259168","3",1,"N",c(-120.259168275025, 39.553895343966)
"408","C",1,"D1322C","39.550835","-120.258693","3",1,"N",c(-120.258692640779, 39.5508349155617)
"409","C",1,"D1323C","39.550748","-120.256694","3",1,"N",c(-120.256693995009, 39.5507476489237)
"410","C",1,"D1324C","39.553793","-120.256594","3",1,"F",c(-120.256593876025, 39.553792842015)
"411","C",1,"D1325C","39.553145","-120.254709","3",1,"F",c(-120.254709099156, 39.553145063249)
"412","C",1,"D1326C","39.553312","-120.254797","3",1,"F",c(-120.254796639468, 39.5533119367371)
"413","C",1,"D1328C","39.553970","-120.251839","3",1,"F",c(-120.251839382655, 39.5539699474979)
"414","C",1,"D1329C","39.554105","-120.251686","3",1,"F",c(-120.25168597228, 39.5541054747107)
"415","C",1,"D1331C","39.554580","-120.251078","3",1,"F",c(-120.251077535176, 39.5545801266941)
"416","C",1,"D1332C","39.555040","-120.248981","3",1,"F",c(-120.248980791615, 39.5550404512415)
"417","C",1,"D1333C","39.556088","-120.234750","3",4,"N",c(-120.2347498113, 39.5560883844996)
"418","C",1,"D1338C","39.540690","-120.221826","3",4,"N",c(-120.221825503225, 39.5406903428526)
"419","C",1,"D1339C","39.539690","-120.220933","3",4,"N",c(-120.220933287433, 39.5396898876907)
"420","C",1,"D1341C","39.557016","-120.197822","3",3,"F",c(-120.197822194555, 39.5570160177677)
"421","C",1,"D1343C","39.559909","-120.189449","3",3,"N",c(-120.189449246389, 39.5599087135328)
"422","C",1,"D1345C","39.560246","-120.189292","3",3,"N",c(-120.189292033585, 39.5602461651243)
