"","type","tier","id","lat","long","t2_opt","t3_opt","elev1","rad1","elev2","rad2","year","cat","seed"
"203","C",1,"A1147C","40.102663","-120.624816",NA,NA,"1","2","1","2","1",1,"N"
"204","C",1,"A1148C","40.101667","-120.622393",NA,NA,"1","2","2","2","1",1,"N"
"205","C",1,"A1149C","40.122075","-120.619543",NA,NA,"1","3","2","1","3",2,"N"
"206","C",1,"A1150C","40.133239","-120.618936",NA,NA,"2","4","1","2","3",2,"N"
"207","C",1,"A1152C","40.116110","-120.617630",NA,NA,"1","1","1","2","1",1,"N"
"208","C",1,"A1153C","40.139732","-120.618158",NA,NA,"1","2","2","2","3",2,"F"
"209","C",1,"A1155C","40.116290","-120.616023",NA,NA,"1","1","1","1","1",1,"N"
"210","C",1,"A1156C","40.108077","-120.614092",NA,NA,"2","1","2","1","1",1,"N"
"211","C",1,"A1157C","40.106962","-120.613145",NA,NA,"2","2","2","1","1",1,"N"
"212","C",1,"A1158C","40.108451","-120.613461",NA,NA,"2","1","1","2","1",1,"N"
"213","C",1,"A1161C","40.115189","-120.611030",NA,NA,"1","1","2","2","1",1,"N"
"214","C",1,"A1162C","40.100989","-120.608217",NA,NA,"3","2","1","1","1",1,"N"
"215","C",1,"A1163C","40.096836","-120.606226",NA,NA,"3","2","2","2","1",1,"N"
"216","C",1,"A1164C","40.098480","-120.606591",NA,NA,"3","1","2","1","1",1,"N"
"217","C",1,"A1165C","40.118311","-120.606575",NA,NA,"2","1","2","2","1",1,"N"
"218","C",1,"A1167C","40.118372","-120.605993",NA,NA,"3","1","1","2","1",1,"N"
"219","C",2,"A1003C","40.243326","-120.846193",NA,NA,"3","2","2","2","3",1,"N"
"220","C",2,"A1004C","40.240649","-120.842941",NA,NA,"3","4","2","1","3",2,"N"
"221","C",2,"A1011C","40.258303","-120.817839",NA,NA,"3","1","2","2","3",1,"N"
"222","C",2,"A1014C","40.249815","-120.810406",NA,NA,"4","4","1","1","3",2,"N"
"223","C",2,"A1015C","40.254028","-120.802474",NA,NA,"2","2","2","1","3",1,"N"
"224","C",2,"A1018C","40.233568","-120.785761",NA,NA,"1","1","1","2","3",1,"F"
"225","C",2,"A1027C","40.232092","-120.775408",NA,NA,"1","1","2","1","3",1,"F"
"226","C",2,"A1028C","40.234812","-120.773924",NA,NA,"1","2","1","2","3",1,"F"
"227","C",2,"A1032C","40.239886","-120.769183",NA,NA,"2","2","1","2","3",2,"N"
"228","C",2,"A1064C","40.228481","-120.747692",NA,NA,"1","1","2","1","3",2,"F"
"229","C",2,"A1076C","40.191190","-120.737001",NA,NA,"4","2","1","2","3",2,"N"
"230","C",2,"A1092C","40.208645","-120.727735",NA,NA,"2","2","2","1","3",2,"F"
"231","C",2,"A1093C","40.205016","-120.726386",NA,NA,"2","2","1","1","3",2,"F"
"232","C",2,"A1094C","40.196121","-120.724375",NA,NA,"3","2","2","1","3",2,"N"
"233","C",2,"A1101C","40.211350","-120.700583",NA,NA,"2","2","1","2","3",1,"F"
"234","C",2,"A1107C","40.204657","-120.676922",NA,NA,"1","2","1","1","3",1,"F"
"235","C",2,"A1111C","40.194905","-120.665514",NA,NA,"2","1","1","1","3",1,"F"
"236","C",2,"A1113C","40.190557","-120.661820",NA,NA,"3","1","2","1","3",1,"N"
"237","C",2,"A1117C","40.229289","-120.658387",NA,NA,"1","2","1","2","3",1,"N"
"238","C",2,"A1119C","40.188500","-120.658614",NA,NA,"3","2","2","1","3",1,"N"
"239","C",2,"A1120C","40.230408","-120.656416",NA,NA,"1","2","2","2","3",1,"N"
"240","C",2,"A1122C","40.187127","-120.648211",NA,NA,"2","2","1","1","3",1,"F"
"241","C",2,"A1123C","40.187518","-120.647929",NA,NA,"2","1","1","2","3",1,"F"
"242","C",2,"A1128C","40.185929","-120.667418",NA,NA,"2","1","2","2","3",2,"F"
"243","C",2,"A1134C","40.164866","-120.651985",NA,NA,"2","2","2","2","3",1,"N"
"244","C",2,"A1138C","40.151406","-120.640958",NA,NA,"3","3","1","2","3",2,"N"
"245","C",2,"A1140C","40.155887","-120.627492",NA,NA,"1","2","2","2","3",2,"N"
"246","C",2,"A1142C","40.154006","-120.616691",NA,NA,"1","2","2","2","3",2,"F"
"247","C",2,"A1146C","40.130758","-120.623780",NA,NA,"1","3","2","1","3",2,"N"
"248","C",2,"A1154C","40.133782","-120.617183",NA,NA,"2","4","1","2","3",2,"N"
"249","C",2,"A1159C","40.118292","-120.613460",NA,NA,"1","1","1","1","1",1,"N"
"250","C",2,"A1160C","40.111190","-120.613220",NA,NA,"1","2","2","2","1",1,"N"
"251","C",2,"A1166C","40.101100","-120.604707",NA,NA,"3","2","2","2","1",1,"N"
"252","C",2,"A1168C","40.118517","-120.604546",NA,NA,"3","1","1","2","1",1,"N"
"253","C",2,"A1169C","40.118652","-120.604024",NA,NA,"3","2","1","1","1",1,"N"
"254","C",3,"A1007C","40.247170","-120.830144",NA,NA,"3","4","2","1","3",2,"N"
"255","C",3,"A1009C","40.249136","-120.827519",NA,NA,"2","2","1","2","3",1,"F"
"256","C",3,"A1012C","40.255534","-120.815985",NA,NA,"3","2","2","1","3",2,"N"
"257","C",3,"A1013C","40.256331","-120.813072",NA,NA,"3","1","2","1","3",1,"N"
"258","C",3,"A1024C","40.234124","-120.781071",NA,NA,"1","1","2","1","3",1,"F"
"259","C",3,"A1025C","40.235922","-120.776668",NA,NA,"1","1","1","2","3",1,"F"
"260","C",3,"A1030C","40.237187","-120.771096",NA,NA,"1","2","2","2","3",2,"F"
"261","C",3,"A1078C","40.196291","-120.734103",NA,NA,"2","1","2","2","3",2,"F"
"262","C",3,"A1091C","40.205260","-120.728436",NA,NA,"2","2","1","1","3",2,"F"
"263","C",3,"A1097C","40.200009","-120.712902",NA,NA,"3","2","2","2","3",1,"N"
"264","C",3,"A1098C","40.210873","-120.712035",NA,NA,"2","2","1","1","3",1,"F"
"265","C",3,"A1102C","40.200817","-120.687666",NA,NA,"4","2","1","2","3",2,"N"
"266","C",3,"A1104C","40.199808","-120.684620",NA,NA,"3","2","2","1","3",1,"N"
"267","C",3,"A1108C","40.204055","-120.676833",NA,NA,"1","2","1","1","3",1,"F"
"268","C",3,"A1114C","40.229284","-120.658839",NA,NA,"1","2","1","2","3",1,"F"
"269","C",3,"A1115C","40.189279","-120.659165",NA,NA,"3","1","2","2","3",1,"N"
"270","C",3,"A1116C","40.231758","-120.658514",NA,NA,"1","2","1","2","3",1,"N"
"271","C",3,"A1121C","40.228531","-120.655224",NA,NA,"1","2","2","2","3",1,"N"
"272","C",3,"A1125C","40.159318","-120.684915",NA,NA,"2","2","2","1","3",1,"N"
"273","C",3,"A1130C","40.178286","-120.663945",NA,NA,"2","2","2","1","3",2,"F"
"274","C",3,"A1131C","40.158982","-120.660157",NA,NA,"2","2","2","2","3",1,"N"
"275","C",3,"A1135C","40.155894","-120.650935",NA,NA,"3","3","1","2","3",2,"N"
"276","C",3,"A1139C","40.152919","-120.627043",NA,NA,"2","2","1","2","3",2,"N"
"277","C",3,"A1143C","40.126947","-120.627496",NA,NA,"1","2","2","2","3",2,"N"
"278","C",3,"A1144C","40.129118","-120.627261",NA,NA,"1","3","2","1","3",2,"N"
"279","C",3,"A1151C","40.138021","-120.619071",NA,NA,"1","1","2","1","3",2,"F"
