"","type","tier","id","lat","long","t2_opt","t3_opt","elev1","rad1","elev2","rad2","year","cat","seed"
"1","T",1,"A4012T","40.241832","-120.847093","A4016T","","3","3","2","1","3",1,"N"
"2","T",1,"A4014T","40.239214","-120.834759","A4017T","A4041T","4","2","1","2","3",1,"N"
"3","T",1,"A4015T","40.244421","-120.831737","","","2","3","1","2","3",2,"N"
"4","T",1,"A4022T","40.257702","-120.818186","","","2","1","2","2","3",2,"N"
"5","T",1,"A4026T","40.256964","-120.813353","A4168T","","4","1","1","1","3",1,"N"
"6","T",1,"A4029T","40.250000","-120.811220","","","2","3","2","1","3",2,"N"
"7","T",1,"A4030T","40.256507","-120.811160","","","E","E","E","E","3",2,"N"
"8","T",1,"A4048T","40.261626","-120.793871","","","1","3","2","2","3",2,"N"
"9","T",1,"A4057T","40.274733","-120.785459","A4013T","","4","3","2","1","3",1,"N"
"10","T",1,"A4065T","40.235540","-120.782347","A4061T","","1","1","2","1","3",2,"N"
"11","T",1,"A4151T","40.196535","-120.808803","","","D","D","D","D","3",2,"N"
"12","T",1,"A4164T","40.208716","-120.752459","","","B","B","B","B","3",2,"N"
"13","T",1,"A4167T","40.220531","-120.726314","","","2","2","1","1","3",1,"N"
"14","T",1,"A4172T","40.197710","-120.683623","A4025T","","2","2","2","2","3",2,"N"
"15","T",1,"A4173T","40.195551","-120.662556","A4064T","A4060T","1","1","2","1","3",1,"N"
"16","T",1,"A4176T","40.179920","-120.673590","A4171T","","2","2","2","1","3",2,"N"
"17","T",1,"A4177T","40.157196","-120.653382","","","2","3","1","2","3",1,"N"
"18","T",1,"A4245T","40.114040","-120.623977","","","1","1","1","1","3",2,"N"
"19","T",1,"A4248T","40.115560","-120.616804","A4247T","","1","1","1","1","1",1,"N"
"20","T",1,"A4249T","40.095715","-120.612367","","","2","2","2","2","1",1,"N"
"21","T",2,"A4013T","40.241621","-120.844878",NA,NA,"4","3","2","1","3",1,"N"
"22","T",2,"A4016T","40.247343","-120.826692",NA,NA,"3","3","2","1","3",1,"N"
"23","T",2,"A4017T","40.251616","-120.825254",NA,NA,"4","2","1","2","3",1,"N"
"24","T",2,"A4025T","40.256249","-120.817484",NA,NA,"2","2","2","2","3",2,"N"
"25","T",2,"A4061T","40.235285","-120.783429",NA,NA,"1","1","2","1","3",2,"N"
"26","T",2,"A4064T","40.235540","-120.782347",NA,NA,"1","1","2","1","3",1,"N"
"27","T",2,"A4124T","40.234931","-120.741040",NA,NA,"A","A","A","A","3",2,"N"
"28","T",2,"A4168T","40.196621","-120.724906",NA,NA,"4","1","1","1","3",1,"N"
"29","T",2,"A4171T","40.198588","-120.683762",NA,NA,"2","2","2","1","3",2,"N"
"30","T",2,"A4247T","40.115248","-120.617808",NA,NA,"1","1","1","1","1",1,"N"
"31","T",3,"A4041T","40.251604","-120.807450",NA,NA,"4","2","1","2","3",1,"N"
"32","T",3,"A4060T","40.235285","-120.783429",NA,NA,"1","1","2","1","3",1,"N"
"33","I",1,"A4000I","40.280826","-120.703722",NA,NA,NA,NA,NA,NA,"3",3,"F"
"34","I",1,"A4001I","40.282177","-120.703735",NA,NA,NA,NA,NA,NA,"3",3,"F"
"35","I",1,"A4002I","40.283527","-120.703748",NA,NA,NA,NA,NA,NA,"3",3,"F"
"36","I",1,"A4003I","40.284878","-120.703761",NA,NA,NA,NA,NA,NA,"3",3,"F"
"37","I",1,"A4004I","40.280826","-120.703722",NA,NA,NA,NA,NA,NA,"3",3,"F"
"38","I",1,"A4005I","40.282177","-120.703735",NA,NA,NA,NA,NA,NA,"3",3,"F"
"39","I",1,"A4006I","40.283527","-120.703748",NA,NA,NA,NA,NA,NA,"3",3,"F"
"40","I",1,"A4007I","40.284878","-120.703761",NA,NA,NA,NA,NA,NA,"3",3,"F"
"41","I",1,"A4008I","40.280836","-120.701958",NA,NA,NA,NA,NA,NA,"3",3,"F"
"42","I",1,"A4009I","40.280836","-120.701958",NA,NA,NA,NA,NA,NA,"3",3,"F"
"43","I",1,"A4010I","40.276912","-120.678986",NA,NA,NA,NA,NA,NA,"3",3,"F"
